index,State,Commute Mode Share - Auto: Raw Value,Commute Mode Share - Auto: Score,Commute Mode Share - Transit: Raw Value,Commute Mode Share - Transit: Score,Commute Mode Share - Bicycle: Raw Value,Commute Mode Share - Bicycle: Score,Commute Mode Share - Walk: Raw Value,Commute Mode Share - Walk: Score,Complete Streets Policies: Raw Value,Complete Streets Policies: Score,"DUI/DWI Fatalities per 10,000 Residents: Raw Value","DUI/DWI Fatalities per 10,000 Residents: Score",Person Miles of Travel by Private Vehicle: Raw Value,Person Miles of Travel by Private Vehicle: Score,Person Miles of Travel by Walking: Raw Value,Person Miles of Travel by Walking: Score,Physical Activity from Transportation: Raw Value,Physical Activity from Transportation: Score,Proximity to Major Roadways: Raw Value,Proximity to Major Roadways: Score,"Road Traffic Fatalities per 100,000 Residents - Auto: Raw Value","Road Traffic Fatalities per 100,000 Residents - Auto: Score","Road Traffic Fatalities per 100,000 Residents - Bicycle: Raw Value","Road Traffic Fatalities per 100,000 Residents - Bicycle: Score","Road Traffic Fatalities per 100,000 Residents - Pedestrian: Raw Value","Road Traffic Fatalities per 100,000 Residents - Pedestrian: Score",Road Traffic Fatalities Exposure Rate - Auto: Raw Value,Road Traffic Fatalities Exposure Rate - Auto: Score,Road Traffic Fatalities Exposure Rate - Bicycle: Raw Value,Road Traffic Fatalities Exposure Rate - Bicycle: Score,Road Traffic Fatalities Exposure Rate - Pedestrian: Raw Value,Road Traffic Fatalities Exposure Rate - Pedestrian: Score,Seat Belt Use: Raw Value,Seat Belt Use: Score,Transit Trips per Capita: Raw Value,Transit Trips per Capita: Score,Use of Federal Funds for Bicycle and Pedestrian Efforts: Raw Value,Use of Federal Funds for Bicycle and Pedestrian Efforts: Score,Vehicle Miles Traveled per Capita: Raw Value,Vehicle Miles Traveled per Capita: Score,Unnamed: 41,Unnamed: 42,Unnamed: 43
0,Alabama,0.950,5.347205,4.1079305995163438E-3,16.561468,1.1228817214340007E-3,6.742892,1.1963536027099353E-2,4.490895,No policy,0,5.334686,15.824364,33882.288229,21.236827,118.261826,8.480592,5.8225966303270565E-2,13.614504,1.1408673493957903E-3,81.133072,17.0,11.31537,0.1,71.512067,1.5,30.493818,17.9,12.904864,97.9,9.293812,122.4,5.616317,0.895,70.772032,1.6,6.400341,0.013,21.862884,13519.190859,4.35553,,,
1,Alaska,0.802,93.085707,1.6114783476878117E-2,39.003323,1.1061034812531727E-2,88.115874,7.3865500733382508E-2,99.816916,No policy,0,2.053931,88.335608,22752.10084,93.454468,302.521008,85.120871,0.104,70.329635,0.000,100.003383,7.6,75.157974,0.2,53.122516,1.0,69.571798,9.4,70.473913,17.1,82.361915,13.1,96.014444,0.881,63.118014,6.8,37.468257,0.018,45.790031,6349.527419,99.348298,,,
2,Arizona,0.884,50.019094,2.0065434759046877E-2,45.363365,9.0447664133411956E-3,78.928663,2.0164634000723786E-2,21.691704,No policy,0,3.465041,49.601512,32444.151275,29.226422,210.202287,54.200059,0.102,67.158002,1.1629029747300824E-2,29.4976,10.5,46.82478,0.3,6.079212,2.0,6.565017,11.9,47.172309,35.4,49.532373,96.3,10.959429,0.822,32.285355,15.1,62.913024,0.018,45.790031,9209.513486,66.25161,,,
3,Arkansas,0.937,10.598539,4.6612334265904391E-3,17.729898,7.8173782589303811E-4,4.437632,1.6259984592304263E-2,11.724438,No policy,0,4.84774,21.718995,29175.942549,52.741262,97.845601,3.139059,4.4585987261146494E-2,4.553796,0.000,100.003383,18.1,8.723581,0.2,54.999913,1.4,33.897177,19.3,9.07764,152.6,2.901037,78.1,18.015568,0.719,5.110117,2.1,10.445575,0.012,17.732354,11214.184867,25.030552,,,
4,California,0.849,75.04669,5.1794088225195677E-2,80.024932,1.1205026083292489E-2,88.615969,2.6866868406834856E-2,43.38127,Policy in place,100,2.110533,87.064671,27970.436068,62.301135,361.254825,93.291556,0.142,94.982083,3.4658200842118667E-2,13.502265,6.0,89.238823,0.3,10.700906,1.6,20.691907,7.0,89.857811,28.2,61.193102,58.9,31.15422,0.955,95.105325,37.3,85.614854,0.024,72.159886,8515.931455,80.340069,,,
5,Colorado,0.844,77.558991,3.229093510183776E-2,62.026134,1.5095362244972316E-2,96.741187,3.375422887962902E-2,65.258016,Policy in place,100,2.562888,75.274205,28517.386723,57.970016,261.854584,74.871018,0.112,77.845819,4.08064269910268E-3,58.441681,8.2,69.139631,0.2,38.65506,1.0,70.020964,9.6,67.893901,15.4,85.599664,32.0,66.262938,0.807,25.98654,20.8,72.21947,0.021,59.990437,9105.631395,68.519984,,,
6,Connecticut,0.870,60.566686,4.7723663084200021E-2,77.03101,3.3309707375638264E-3,27.667244,2.9783171567847481E-2,53.092872,Policy in place,100,2.366525,80.684921,30618.332081,41.644918,307.287754,86.033612,0.114,79.544477,1.1002153064022841E-2,30.97401,6.1,88.276959,0.1,63.324766,1.0,67.18858,7.0,90.168973,53.1,29.628298,34.4,62.209328,0.868,55.875958,19.1,69.889699,0.017,40.835645,8692.588151,77.031821,,,
7,Delaware,0.897,38.876543,2.542174015070529E-2,53.220616,3.2307535501549006E-3,26.585697,2.2636607779882099E-2,29.278898,Policy in place,100,3.707528,43.429664,37404.255319,8.51012,167.173252,31.438733,6.5116279069767441E-2,20.502864,0.000,100.003383,9.5,56.449471,0.4,0.66741,2.3,2.959336,10.5,59.123596,137.0,3.947836,101.6,9.532463,0.879,62.00591,40.1,86.897266,0.037,96.741555,9943.085611,49.762586,,,
8,Florida,0.895,40.42017,2.1705208463393084E-2,47.862294,6.9704470346866982E-3,64.417027,1.5663901139436755E-2,10.474843,Policy in place,100,3.607521,45.914014,25743.091965,78.654284,193.283265,45.608933,8.9101753117657695E-2,51.536458,6.0367937133286101E-3,48.045438,10.3,48.28042,0.6,0.003376,2.6,1.2178,11.5,50.438175,93.1,10.407208,163.2,2.176918,0.874,59.218704,14.4,61.41789,0.035,95.22082,10053.456436,47.320764,,,
9,Georgia,0.904,32.934726,1.969415598101933E-2,44.786074,1.9643362366393805E-3,13.736207,1.6887215389610761E-2,13.122452,Policy in place,100,3.035607,61.565998,33477.233429,23.315196,176.945245,36.79159,7.0637119113573413E-2,26.965371,1.1085826349589328E-2,30.769907,11.5,38.515197,0.2,45.86092,1.6,23.54063,12.7,40.011629,84.1,12.978075,101.2,9.630902,0.92,83.122989,16.1,64.90456,0.029,86.49074,11055.198954,27.615782,,,
