Purchase Order,line_cost,Order Date
0104TENGEL          ,48.3,2021-01-04
0105TENGEL          ,516.17,2021-01-05
0106TENGEL          ,129.33,2021-01-06
0107TENGEL          ,78.5,2022-01-07
0108TENGEL          ,28.869999999999997,2021-01-08
0112TENGEL          ,50.519999999999996,2021-01-12
0113TENGEL          ,152.47,2021-01-13
0115TENGEL          ,29.59,2021-01-15
0118TENGEL          ,79.94,2021-01-18
0119TENGEL          ,542.22,2021-01-19
0123TENGEL          ,183.60999999999999,2023-01-23
0127TENGEL          ,49.25,2021-01-27
0128TENGEL          ,163.16,2021-01-28
0130BOWEN           ,48.870000000000005,2023-01-30
0201TENGEL          ,195.35,2022-02-01
0202TENGEL          ,80.07,2022-02-02
0203TENGEL          ,415.19,2021-02-03
0204TENGEL          ,38.43,2021-02-04
0208TENGEL          ,30.7,2021-02-08
0215TENGEL          ,62.88,2021-02-15
0216TENGEL          ,1304.13,2021-02-16
0217TENGEL          ,51.01,2021-02-17
0218TENGEL          ,201.81,2021-02-18
0222TENGEL          ,142.67,2022-02-22
0227TENGEL          ,138.47,2023-02-27
0228TENGEL          ,73.6,2023-02-28
0303TENGEL          ,180.74,2022-03-03
0307TENGEL          ,73.78,2023-03-07
0308TENGEL          ,155.58,2022-03-08
0310TENGEL          ,58.85,2023-03-10
0311TENGEL          ,377.64,2021-03-11
0314TENGEL          ,122.10000000000001,2022-03-14
0315TENGEL          ,79.24,2021-03-15
0316TENGEL          ,47.0,2021-03-16
0317TENGEL          ,247.96,2021-03-17
0323TENGEL          ,156.08999999999997,2023-03-23
0324BOWEN           ,16.54,2022-03-24
0324TENGEL          ,42.8,2023-03-24
0328TENGEL          ,46.9,2023-03-28
0329TENGEL          ,111.57,2022-03-29
0331TENGEL          ,244.87,2021-03-31
0405TENGEL          ,58.89,2023-04-05
0406BOWEN           ,76.05000000000001,2023-04-06
0407TENGEL          ,292.11,2023-04-07
0408TENGEL          ,391.65999999999997,2021-04-08
0411TENGEL          ,320.82,2023-04-11
0412TENGEL          ,335.84,2021-04-12
0413TENGEL          ,174.49,2021-04-13
0414TENGEL          ,43.84,2021-04-14
0416TENGEL          ,466.07,2021-04-16
0421TENGEL          ,76.65,2021-04-21
0423TENGEL          ,61.230000000000004,2021-04-23
0427TENGEL          ,399.34,2021-04-27
0503TENGEL          ,320.5,2021-05-03
0506TENGEL          ,81.89,2021-05-06
0507TENGEL          ,26.28,2021-05-07
0509TENGEL          ,259.96999999999997,2022-05-09
0511TENGEL          ,221.88,2021-05-11
0513TENGEL          ,159.55,2021-05-13
0514TENGEL          ,157.77,2021-05-14
0517TENGEL          ,27.0,2022-05-17
0519TENGEL          ,144.7,2021-05-19
0521TENGEL          ,67.39,2021-05-21
0524TENGEL          ,140.98,2021-05-24
0525TENGEL          ,414.0,2021-05-25
0526TENGEL          ,33.910000000000004,2021-05-26
0528TENGEL          ,73.57,2021-05-28
0602TENGEL          ,78.0,2021-06-02
0603TENGEL          ,40.9,2021-06-03
0607TENGEL          ,53.9,2021-06-07
0608TENGEL          ,36.34,2021-06-08
0609TENGEL          ,182.49999999999997,2021-06-09
0610TENGEL          ,79.51,2021-06-10
0615TENGEL          ,30.69,2021-06-15
0620TENGEL          ,197.31,2022-06-20
0622TENGEL          ,269.94,2021-06-22
0623TENGEL          ,79.81,2021-06-23
0624TENGEL          ,60.69,2021-06-24
0627TENGEL          ,360.46,2022-06-27
0629TENGEL          ,87.02,2021-06-29
0630TENGEL          ,35.41,2021-06-30
0701TENGEL          ,66.49,2021-07-01
0702TENGEL          ,65.24,2021-07-02
0706TENGEL          ,139.98,2021-07-06
0708TENGEL          ,72.85000000000001,2021-07-08
0709TENGEL          ,48.900000000000006,2021-07-09
0712TENGEL          ,242.61,2022-07-12
0713TENGEL          ,44.67,2021-07-13
0714TENGEL          ,40.769999999999996,2021-07-14
0716TENGEL          ,430.46,2021-07-16
0718TENGEL          ,120.87,2022-07-18
0720TENGEL          ,111.19,2021-07-20
0721TENGEL          ,164.82,2021-07-21
0722TENGEL          ,144.62,2022-07-22
0723TENGEL          ,284.69,2021-07-23
0725TENGEL          ,61.21,2022-07-25
0726TENGEL          ,41.01,2021-07-26
0728TENGEL          ,76.52,2021-07-28
0730BOWEN           ,78.12,2021-07-30
0804BOWEN           ,31.09,2021-08-04
0804TENGEL          ,72.26,2022-08-04
0805TENGEL          ,80.75,2021-08-05
0806TENGEL          ,319.07000000000005,2021-08-06
0809TENGEL          ,134.83,2021-08-09
0810TENGEL          ,65.03,2021-08-10
0811TENGEL          ,22.92,2021-08-11
0813BOWEN           ,379.48,2021-08-13
0813TENGEL          ,132.05,2021-08-13
0816TENGEL          ,51.0,2021-08-16
0817TENGEL          ,23.490000000000002,2021-08-17
0819TENGEL          ,89.49000000000001,2021-08-19
0820TENGEL          ,100.73,2021-08-20
0824TENGEL          ,152.0,2021-08-24
0825TENGEL          ,24.74,2021-08-25
0831TENGEL          ,94.08,2021-08-31
0901BOWEN           ,127.82,2021-09-01
0907TENGEL          ,53.31,2021-09-07
0912TENGEL          ,708.01,2022-09-12
0913TENGEL          ,183.6,2021-09-13
0914TENGEL          ,74.93,2022-09-14
0916TENGEL          ,286.34,2021-09-16
0919TENGEL          ,62.300000000000004,2022-09-19
0921BOWEN           ,89.24,2021-09-21
0921TENGEL          ,31.73,2022-09-21
0922TENGEL          ,165.25,2021-09-22
0923TENGEL          ,120.13,2022-09-23
0927TENGEL          ,171.66,2021-09-27
0928TENGEL          ,168.17,2022-09-28
0929TENGEL          ,112.08,2022-09-29
1001TENGEL          ,41.61,2021-10-01
1004TENGEL          ,300.07,2021-10-04
1006TENGEL          ,98.32000000000001,2022-10-06
1010TENGEL          ,1062.78,2022-10-10
1011TENGEL          ,106.02,2022-10-11
1012TENGEL          ,98.54,2021-10-12
1014TENGEL          ,209.73,2021-10-14
1017TENGEL          ,33.620000000000005,2022-10-17
1018TENGEL          ,34.32,2022-10-18
1025TENGEL          ,61.52,2021-10-25
1026TENGEL          ,126.17,2022-10-26
1027TENGEL          ,107.0,2022-10-27
1031TENGEL          ,71.10000000000001,2022-10-31
