,DD_id,Base_quantity,Symbol,Description,SI_base_unit,Dimension,WIKI_LINK,L,M,T,K,I,N,J
0,1,Absement,A,Measure of sustained displacement: the first integral with respect to time of displacement,m⋅s,L T,https://en.wikipedia.org/wiki/Absement,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1,2,Absorbed dose rate,,Absorbed dose received per unit of time,Gy/s,L2 T−3,https://en.wikipedia.org/wiki/Absorbed_dose_rate,2.0,0.0,-3.0,0.0,0.0,0.0,0.0
2,3,Acceleration,a→,Rate of change of velocity per unit time: the second time derivative of position,m / s**2,L T−2,https://en.wikipedia.org/wiki/Acceleration,1.0,0.0,-2.0,0.0,0.0,0.0,0.0
3,4,Angular acceleration,ωa,Change in angular velocity per unit time,rad / s ** 2,T−2,https://en.wikipedia.org/wiki/Angular_acceleration,0.0,0.0,-2.0,0.0,0.0,0.0,0.0
4,5,Angular momentum,L,Measure of the extent and direction of an object rotates about a reference point,kg * m ** 2 / s,M L2 T−1,https://en.wikipedia.org/wiki/Angular_momentum,2.0,1.0,-1.0,0.0,0.0,0.0,0.0
5,6,Angular velocity,ω,The angle incremented in a plane by a segment connecting an object and a reference point per unit time,rad/s,T−1,https://en.wikipedia.org/wiki/Angular_velocity,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
6,7,Area,A,Extent of a surface,m**2,L2,https://en.wikipedia.org/wiki/Area,2.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,Area density,ρA,Mass per unit area,kg/m**2,M L−2,https://en.wikipedia.org/wiki/Area_density,-2.0,1.0,0.0,0.0,0.0,0.0,0.0
8,9,Capacitance,C,Stored charge per unit electric potential,farad,M−1 L−2 T4 I2,https://en.wikipedia.org/wiki/Capacitance,-2.0,-1.0,4.0,0.0,2.0,0.0,0.0
9,10,Catalytic activity concentration,,Change in reaction rate due to presence of a catalyst per unit volume of the system,kat⋅m−3,L−3 T−1 N,https://en.wikipedia.org/wiki/Catalytic_activity_concentration,-3.0,0.0,-1.0,0.0,0.0,1.0,0.0
10,11,Centrifugal force,Fc,Inertial force that appears to act on all objects when viewed in a rotating frame of reference,N⋅rad,M L T−2,https://en.wikipedia.org/wiki/Centrifugal_force,1.0,1.0,-2.0,0.0,0.0,0.0,0.0
11,12,Chemical potential,μ,Energy per unit change in amount of substance,J/mol,M L2 T−2 N−1,https://en.wikipedia.org/wiki/Chemical_potential,2.0,1.0,-2.0,0.0,0.0,-1.0,0.0
12,13,Crackle,c→,Change of jounce per unit time: the fifth time derivative of position,m/s**5,L T−5,https://en.wikipedia.org/wiki/Crackle_(physics),1.0,0.0,-5.0,0.0,0.0,0.0,0.0
13,14,Current density,J →,Electric current per unit cross-section area,A/m**2,L−2 I,https://en.wikipedia.org/wiki/Current_density,-2.0,0.0,0.0,0.0,1.0,0.0,0.0
14,15,Dose equivalent,H,Received radiation adjusted for the effect on biological tissue,m2/s2,L2 T−2,https://en.wikipedia.org/wiki/Dose_equivalent,2.0,0.0,-2.0,0.0,0.0,0.0,0.0
