ID,Quote,Author,Source,Property
a_1,The way to get started is to quit talking and begin doing,Walt Disney,"Wall Poster (Great Minds, Great Quotes)",
a_2,"As I would not be a slave, so I would not be a master. This expresses my idea of democracy",Abraham Lincoln,"Wall Poster (Great Minds, Great Quotes)",
a_3,The journey of a thousand miles begins with a single step,Lao Tzu,"Wall Poster (Great Minds, Great Quotes)",
a_4,The difference between what we do and what we are capable of doing would suffice to solve most of the world's problems,Mahatma Gandhi,"Wall Poster (Great Minds, Great Quotes)",
a_5,Twenty years from now you will be more dissapointed by the things that you didn't do than by the ones you did do. So throw off the bowlines. Sail away from the safe harbor. Catch the trade winds in your sails. Explore. Dream. Discover.,Mark Twain,"Wall Poster (Great Minds, Great Quotes)",
a_6,"If you don't go after what you want, you'll never have it. If you don't ask, the answer is always no. If you don't step forward, you're always in the same place.",Nora Roberts,"Wall Poster (Great Minds, Great Quotes)",
a_7,What lies behind us and what lies before us are tiny matters compared to what lies within us.,Ralph Waldo Emerson,"Wall Poster (Great Minds, Great Quotes)",
a_8,It is better to keep your mouth shut and give the impression that you are stupid than to open it and remove all doubt.,Rami Belson,"Wall Poster (Great Minds, Great Quotes)",
a_9,"In any situation, the best thing you can do is the right thing; the next best thing you can do is the wrong thing; the worst thing you can do is nothing",Theodore Roosevelt,"Wall Poster (Great Minds, Great Quotes)",
a_10,What you get by achieving your goals is not as important as what you become by achieving your goals,Zig Ziglar,"Wall Poster (Great Minds, Great Quotes)",
a_11,It's not the years in your life that count. It's the life in your years.,Abraham Lincoln,"Wall Poster (Great Minds, Great Quotes)",
a_12,"Do not go where the path may lead, go instead where there is no path and leave a trail.",Ralph Waldo Emerson,"Wall Poster (Great Minds, Great Quotes)",
a_13,Genius is one percent inspiration and ninety nine percent perspiration,Thomas Alva Edison,"Wall Poster (Great Minds, Great Quotes)",
a_14,Imagination is more important than knowledge. Knowledge is limited. Imagination encircles the world.,Albert Einstein,"Wall Poster (Great Minds, Great Quotes)",
a_15,All we are is the result of what we have thought,Buddha,"Wall Poster (Great Minds, Great Quotes)",
a_16,"Let me say, at the risk of seeming ridiculous, that the true revolutionary is guided by great feelings of love",Che Guevara,"Wall Poster (Great Minds, Great Quotes)",
a_17,Don't cry because it's over. Smile because it happened,Dr. Seuss,"Wall Poster (Great Minds, Great Quotes)",
a_18,Life is too important to be taken seriously,Oscar Wilde,"Wall Poster (Great Minds, Great Quotes)",
a_19,No army can withstand the strength of an idea whose time has come,Victor Hugo,"Wall Poster (Great Minds, Great Quotes)",
a_20,"We are what we repeatedly do. Excellence, therefore, is not an act but a habit.",Aristotle,"Wall Poster (Great Minds, Great Quotes)",
