,Unnamed: 0.1,Unnamed: 0,elapsed_sec,_time,N1,N2,PR,Turbine_Exit,Power,ACC_NI_CH1_FFT,ACC_NI_CH1_RMS,ACC_NI_CH2_FFT,ACC_NI_CH2_RMS,ACC_NI_CH3_FFT,ACC_NI_CH3_RMS,CV_PLC_Control_Call,CV_PLC_Control_Mode,CV_PLC_Diag,CV_PLC_Fuel_Call,CV_PLC_Fuel_Signal_AO,CV_PLC_Fuel_Temp_Set,CV_PLC_N1_Max,CV_PLC_N2_Max,CV_PLC_Passive_kW,CV_PLC_Stage,CV_PLC_Target_N2,CV_PLC_Volt_Max,DO_PLC_Air_Valve,DO_PLC_Fuel_Enable,DO_PLC_Fuel_Heater,DO_PLC_Igniter,DO_PLC_System_Enable,FP_PLC_Fuel_1,FP_PLC_Oil_Inlet_1,F_PLC_Axial_Force_1,I_PLC_Phase_1,I_PLC_Phase_2,I_PLC_Phase_3,N_PLC_N1,N_PLC_N2,N_PLC_N2b,P_PLC_Bellmouth_Pressure_1,P_PLC_Inlet_MF,P_PLC_PT_Exit_1,P_PLC_PT_Exit_2,P_PLC_PT_Exit_3,P_PLC_Turbine_Diffuser_Exit,T_PLC_Bellmouth_1,T_PLC_Bellmouth_2,T_PLC_Fuel_Inlet_1,T_PLC_Inlet_1,T_PLC_LP_Outlet_1,T_PLC_N2_Front_Bearing_1,T_PLC_N2_Front_Bearing_2,T_PLC_Oil_Inlet_1,T_PLC_Oil_Outlet_1,T_PLC_PT_Outlet_Duct_1,T_PLC_PT_Outlet_Duct_2,T_PLC_Recuperator_HP_Outlet_1,T_PLC_Recuperator_HP_Outlet_2,T_PLC_Turbine_Exit_1,T_PLC_Turbine_Exit_2,VF_PLC_Fuel,V_PLC_Phase_1,V_PLC_Phase_2,V_PLC_Phase_3,cc_call,cc_fuel_manual,cc_ll,cc_max_dec,cc_max_inc,cc_n2_setpoint,cv_control_mode,cv_et,cv_n1_max,cv_n2_max,cv_pid_d,cv_pid_i,cv_pid_p,cv_stage,cv_v_max,spare_420,spare_tc,fuel_gph,fuel_kgs
1,1,1,0.0,2023-01-19 00:12:29.269188+00:00,0.0,0.06,1.035298955506209,21.6,0.04,2120.0,8.37636780893196,320.0,1.796014468676374,0.0,2.640807107109732,30.0,100.0,0.0,43.0,43.0,70.0,100.0,25.0,0.04,30.0,0.0,90.0,1.0,1.0,0.0,1.0,1.0,9.24,40.51,-13.31,3.61,3.44,3.34,0.0,0.06,0.0,0.59,124.43,3.99,3.09,3.65,-1.1,56.7,193.2,75.2,53.2,9.6,-3276.8,-3276.8,28.7,20.5,-3276.8,-164.1,135.3,204.7,21.6,21.3,0.03,3.64,3.63,3.78,30.0,43.0,0.0,1.0,1.0,20.0,100.0,1.7,100.0,25.0,0.0,1.0,10.0,30.0,90.0,59.26,43.6,0.47550991834438,0.0004084999999999
2,2,2,0.388039,2023-01-19 00:12:29.657227+00:00,0.0,0.12,1.035233160621762,21.6,0.04,2080.0,8.537527690166097,320.0,1.67598666880376,0.0,2.520980958681292,35.0,100.0,0.0,43.0,43.0,70.0,100.0,25.0,0.04,35.0,0.0,90.0,0.5,1.0,0.0,1.0,1.0,18.495,40.56,-13.38,3.61,3.445,3.345,0.0,0.12,0.0,0.59,124.34,3.95,3.13,3.63,-1.1,48.7,188.2,75.0,182.55,58.8,-3276.8,-3276.8,28.7,20.5,-3276.8,-190.6,136.2,205.7,21.6,21.35,0.155,3.645,3.63,3.795,35.0,43.0,0.0,1.0,1.0,20.0,100.0,1.95,100.0,25.0,0.0,1.0,10.0,35.0,90.0,59.26,44.2,2.456801244779297,0.0021105833333333
3,3,3,0.543528,2023-01-19 00:12:29.812716+00:00,0.0,0.18,1.035167365737314,21.6,0.04,2080.0,8.35204713007664,800.0,1.5091659216278,0.0,2.530572925040322,40.0,100.0,0.0,43.0,43.0,70.0,100.0,25.0,0.04,40.0,0.0,90.0,0.0,1.0,0.0,1.0,1.0,27.75,40.61,-13.45,3.61,3.45,3.35,0.0,0.18,0.0,0.59,124.25,3.91,3.17,3.61,-1.1,40.7,183.2,74.8,311.9,108.0,-3276.8,-3276.8,28.7,20.5,-3276.8,-217.1,137.1,206.7,21.6,21.4,0.28,3.65,3.63,3.81,40.0,43.0,0.0,1.0,1.0,20.0,100.0,2.2,100.0,25.0,0.0,1.0,10.0,40.0,90.0,59.26,44.8,4.438092571214215,0.0038126666666666
4,4,4,0.9652390000000001,2023-01-19 00:12:30.234427+00:00,0.0,0.18,1.035479891438441,21.7,0.04,2080.0,8.166566569987182,1280.0,1.342345174451839,0.0,2.540164891399352,40.0,100.0,0.0,43.0,43.0,70.0,100.0,25.0,0.04,40.0,0.0,90.0,0.0,1.0,0.0,1.0,1.0,30.25,40.61,-13.525,3.61,3.455,3.35,0.0,0.18,0.0,0.59,124.34,3.95,3.185,3.65,-1.1,26.3,174.65,74.6,425.1,168.8,-1724.0,-3276.8,28.7,20.5,-3276.8,-1746.95,135.9,207.0,21.7,21.45,0.28,3.695,3.675,3.855,40.0,43.0,0.0,1.0,1.0,20.0,100.0,2.5,100.0,25.0,0.0,1.0,10.0,40.0,90.0,59.26,42.15,4.438092571214215,0.0038126666666666
5,5,5,1.106402,2023-01-19 00:12:30.375590+00:00,0.0,0.18,1.035792417139567,21.8,0.04,2120.0,8.74219160405907,800.0,1.730785153753209,0.0,2.525211745104461,40.0,100.0,0.0,43.0,43.0,70.0,100.0,25.0,0.04,40.0,0.0,90.0,0.0,1.0,0.0,1.0,1.0,32.75,40.61,-13.6,3.61,3.46,3.35,0.0,0.18,0.0,0.59,124.43,3.99,3.2,3.69,-1.1,11.9,166.1,74.4,538.3,229.6,-171.2,-3276.8,28.7,20.5,-3276.8,-3276.8,134.7,207.3,21.8,21.5,0.28,3.74,3.72,3.9,40.0,43.0,0.0,1.0,1.0,20.0,100.0,2.8,100.0,25.0,0.0,1.0,10.0,40.0,90.0,59.26,39.5,4.438092571214215,0.0038126666666666
6,6,6,1.414708,2023-01-19 00:12:30.683896+00:00,0.0,0.24,1.036088494119582,21.85,0.04,2160.0,9.317816638130958,320.0,2.119225133054578,0.0,2.510258598809571,40.0,100.0,0.0,43.0,43.0,70.0,100.0,25.0,0.04,40.0,0.0,90.0,0.0,1.0,0.0,1.0,1.0,33.245,40.61,-13.455,3.62,3.46,3.35,0.0,0.24,0.0,0.59,124.455,4.025,3.22,3.725,-1.1,3.050000000000001,160.75,73.7,622.75,289.95,-87.8,-3276.8,28.7,20.55,-3276.8,-3276.8,131.65,204.45,21.85,21.55,0.25,3.82,3.8,3.985,40.0,43.0,0.0,1.0,1.0,20.0,100.0,3.05,100.0,25.0,0.0,1.0,10.0,40.0,90.0,59.26,36.9,3.962582652869834,0.0034041666666666
7,7,7,1.6432090000000001,2023-01-19 00:12:30.912397+00:00,0.0,0.3,1.036384571099597,21.9,0.04,2160.0,9.551501300112427,320.0,2.286638114583289,0.0,2.620284982937855,40.0,100.0,0.0,43.0,43.0,70.0,100.0,25.0,0.04,40.0,0.0,90.0,0.0,1.0,0.0,1.0,1.0,33.74,40.61,-13.31,3.63,3.46,3.35,0.0,0.3,0.0,0.59,124.48,4.06,3.24,3.76,-1.1,-5.8,155.4,73.0,707.2,350.3,-4.4,-3276.8,28.7,20.6,-3276.8,-3276.8,128.6,201.6,21.9,21.6,0.22,3.9,3.88,4.07,40.0,43.0,0.0,1.0,1.0,20.0,100.0,3.3,100.0,25.0,0.0,1.0,10.0,40.0,90.0,59.26,34.3,3.487072734525454,0.0029956666666666
8,8,8,1.96625,2023-01-19 00:12:31.235438+00:00,0.0,0.39,1.049494201825808,22.0,0.04,2160.0,9.785185962093898,320.0,2.454051096112001,0.0,2.730311367066138,40.0,100.0,0.0,43.0,43.0,70.0,100.0,25.0,0.04,40.0,0.0,90.0,0.0,1.0,0.0,1.0,1.0,33.90000000000001,40.66,-13.165,3.64,3.475,3.37,0.0,0.39,0.0,0.59,124.48,4.695,4.98,5.37,-1.1,-16.15,150.5,72.6,837.6,408.2000000000001,68.45,-3276.8,28.7,20.6,-3276.8,-3276.8,128.7,201.65,22.0,21.65,0.2,4.035,4.0,4.2,40.0,43.0,0.0,1.0,1.0,20.0,100.0,3.6,100.0,25.0,0.0,1.0,10.0,40.0,90.0,59.26,31.2,3.170066122295867,0.0027233333333333
9,9,9,2.193679,2023-01-19 00:12:31.462867+00:00,0.0,0.48,1.062603832552019,22.1,0.04,1200.0,10.61792892555179,280.0,2.671426441137517,0.0,2.859404762078344,40.0,100.0,0.0,43.0,43.0,70.0,100.0,25.0,0.04,40.0,0.0,90.0,0.0,1.0,0.0,1.0,1.0,34.06,40.71,-13.02,3.65,3.49,3.39,0.0,0.48,0.0,0.59,124.48,5.33,6.72,6.98,-1.1,-26.5,145.6,72.2,968.0,466.1,141.3,-3276.8,28.7,20.6,-3276.8,-3276.8,128.8,201.7,22.1,21.7,0.18,4.17,4.12,4.33,40.0,43.0,0.0,1.0,1.0,20.0,100.0,3.9,100.0,25.0,0.0,1.0,10.0,40.0,90.0,59.26,28.1,2.85305951006628,0.002451
10,10,10,2.524759,2023-01-19 00:12:31.793947+00:00,0.0,0.48,1.071831565095814,22.15,0.045,240.0,11.45067188900969,240.0,2.888801786163033,0.0,2.988498157090551,40.0,100.0,0.0,43.0,43.0,70.0,100.0,25.0,0.045,40.0,0.0,90.0,0.0,1.0,0.0,1.0,1.0,34.33,40.475,-12.875,3.66,3.495,3.4,0.0,0.48,0.0,0.59,124.39,6.845,7.375,7.615,-1.1,-40.8,134.3,71.75,1043.85,526.1,222.55,-3276.8,28.7,20.6,-3276.8,-3276.8,123.15,201.35,22.15,21.8,0.18,4.295,4.245,4.46,40.0,43.0,0.0,1.0,1.0,20.0,100.0,4.15,100.0,25.0,0.0,1.0,10.0,40.0,90.0,59.26,24.95,2.85305951006628,0.002451
