,Title,Avg,Units
0,Massflow,0.32057669756761314,kg/s
1,Turbine_Exit,796.19904,C
2,Inlet_Temperature,16.644239999999996,C
3,Pressure_Ratio,2.924191660498396,%
4,N1,104.25120000000004,kRPM
5,N2,34.69118399999999,kRPM
6,Power,21.198851999999995,kW
7,Leakage,-2.3412951285648127,%
8,Compressor_Efficiency,63.35699651545072,%
9,P_Combined,0.9507898342802599,%
10,P_LP_Inlet,-0.15374934205312926,kPa
11,P_LP_Outlet,-2.597611797925129,kPa
12,T_LP_Inlet,750.7439025324295,C
13,T_HP_Outlet,568.8125462081376,C
14,T_HP_Inlet,178.3897329490849,C
15,T_LP_Outlet,185.34138976337863,C
16,Fuel_Flowrate,0.003801773333333333,kg/s
17,Efficiency,12.96848360116956,%
