,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,elapsed_sec,_time,N1,N2,PR,Turbine_Exit,Power,Index,Elapsed Time (s),Channel_NI,Ch1 RMS_NI,Ch2 RMS_NI,Ch1 Crest Factor_NI,Ch2 Crest Factor_NI,P_NI_Box_NI,T_NI_Box_NI,P_Oil_NI,P_TM_Cooling_Snake_NI,P_Fuel_NI,P_Inlet_Mass_Flow_1_NI,P_Inlet_Mass_Flow_2_NI,P_PT_Exit_Flow_Pressure_5_NI,P_Combustor_NI,P_Impeller_Discharge_1_NI,P_Impeller_Discharge_2_NI,P_Impeller_Discharge_3_NI,P_Impeller_Discharge_4_NI,P_LSSP_Inlet_1_NI,P_LSSP_Inlet_3_NI,P_LSSP_Outlet_1_NI,P_LSSP_Outlet_3_NI,F_Axial_NI,T_Gen_Embedded_pt_1_NI,T_Gen_Embedded_pt_2_NI,T_Gen_Fluid_in_ntc_NI,T_Gen_Fluid_out_ntc_NI,N2_Banner_ai_NI,N2_Reluctance_ai_NI,N1_ai_NI,T_Inlet_Air_NI,T_Combustor_Can_Boot_NI,T_Combustor_Cap_NI,T_Seal_Bypass_Flow_1_NI,T_Seal_Bypass_Flow_2_NI,T_Turbine_Exit_Flow_NI,T_Oil_Inlet_Flow_NI,T_Oil_Outlet_Flow_NI,T_TM_Cooling_Snake_In_NI,T_TM_Cooling_Snake_Out_NI,T_Heat_Shield_Cavity_NI,T_Combustor_Can_Surface_1_NI,T_Combustor_Can_Surface_2_NI,T_Hot_Section_Housing_1_NI,T_Hot_Section_Housing_2_NI,T_Oil_Sump_Vent_Temperature_NI,T_Cross_Duct_Flow_1_NI,T_Cross_Duct_Flow_3_NI,T_Cross_Duct_Flow_5_NI,T_Turbine_Exit_Flow_4_NI,Water_dt_C_NI,atmospheric pressure_PLC,bearing temperature_PLC,co2 temperature_PLC,fuel inlet pressure_PLC,fuel inlet temperature_PLC,fuel regulator_PLC,fuel supply pressure_PLC,generator case temperature 1_PLC,generator case temperature 2_PLC,generator case temperature 3_PLC,generator case temperature 4_PLC,generator outlet temperature_PLC,generator phase1 current_PLC,generator phase1 voltage_PLC,generator phase2 current_PLC,generator phase2 voltage_PLC,generator phase3 current_PLC,generator phase3 voltage_PLC,inlet static pressure_PLC,inlet temperature_PLC,n1 speed sensor_PLC,n2 speed sensor_PLC,oil pressure_PLC,oil temperature_PLC,pt outlet pressure 1,pt outlet pressure 2_PLC,pt outlet pressure 3_PLC,pt outlet pressure 4_PLC,pt outlet temperature 1_PLC,pt outlet temperature 2_PLC,pt outlet temperature 3_PLC,pt outlet temperature 4_PLC,turbine outlet temperature 1_PLC,turbine outlet temperature 2_PLC,relay_st1_PLC,relay_st2_PLC,relay_st3_PLC,relay_st4_PLC,relay_st5_PLC,n2b analog_PLC,n2b speed sensor_PLC,Power [kW],Power(kW)_PLC
14,14,14,14,0.0,2023-04-25 15:13:32,0.048,0.0,1.020578623,19.79999924,0.262369795,14,3.497867154,3:13:32 PM,20.0597,10.2812,2.9698,2.6181,102329.2721,43.4369,34.8167,0.6591,9.4486,-1364.3188,-171.7136,3253.1531,3304.0694,232.1175,1878.4121,2217.8543,1963.2727,2014.189,2777.934,2811.8782,3371.9579,-908.1736,20.852,21.9261,21.7248,21.7617,36.2077,40.2603,99.7993,19.6708,20.4941,20.0496,22.6578,22.1616,19.0801,37.2843,27.9318,18.2222,18.7349,20.2212,19.6103,19.7973,19.2081,19.0935,19.0988,61.0189,88.2201,78.4392,18.7623,0.0369,1.02064383,18.70000076,19.89999962,-0.060600586,19.39999962,25.0,-4.613490582,20.60000038,20.60000038,18.89999962,19.10000038,95.19999695,0.873480916,1.079644084,0.634765625,0.900607646,0.678168416,0.9765625,0.001558602,141.0,0.048,0.0,0,19.0,1.020578623,1.030678511,1.025441527,1.01796031,19.70000076,19.89999962,19.60000038,19.70000076,19.79999924,19.5,0,0,0,0,0,-0.46477142,0,0.262369795,0.262369795
15,15,15,15,0.0,2023-04-25 15:13:32,0.239999979,0.0,1.021813059,19.79999924,0.265494794,15,3.747714808,3:13:32 PM,18.1593,9.853,3.2296,3.0281,102337.7585,43.4417,38.2656,-0.0754,10.7408,-1350.375,-171.7136,3609.5674,4373.3124,350.9223,1997.2169,2947.6551,2913.7109,2014.189,2845.8224,2947.6551,3338.0136,-908.2474,21.7113,21.9261,21.7289,21.774,36.2048,40.2603,99.8072,19.7928,20.7951,19.8665,21.6974,22.1639,19.1378,37.0864,28.0378,18.2542,18.3433,20.1149,19.8033,19.9312,19.0275,18.7663,18.9868,66.7062,80.8569,80.3023,18.7136,0.0451,1.02064383,18.70000076,19.9199997,-0.060051938,19.39999962,25.0,-4.609001923,20.5800003,20.5800003,18.9199997,19.12000046,93.65999756,0.884331608,1.081814241,0.643446183,0.897352434,0.684678829,0.978732646,0.001558602,141.6399994,0.239999979,0.0,0,19.0,1.021813059,1.031651068,1.026002621,1.018222141,19.74000053,19.9199997,19.62000046,19.74000053,19.79999924,19.5,0,0,0,0,0,-0.204354763,0,0.265494794,0.265494794
16,16,16,16,1.0,2023-04-25 15:13:33,0.431999959,0.0,1.023047495,19.79999924,0.268619794,16,3.997562462,3:13:33 PM,19.1824,9.5866,3.352,2.9342,102329.2721,43.4369,39.6439,3.038,11.9109,-1338.8918,-175.8147,3643.5116,3388.93,232.1175,2285.7428,2608.2129,2234.8264,2048.1332,3015.5435,2998.5714,3490.7626,-907.8782,21.4964,22.3557,21.7207,21.7617,36.2048,40.2603,99.7993,19.6053,21.1776,20.1363,21.1526,21.7905,19.1931,37.0601,27.8272,18.4712,18.609,20.1623,19.9684,20.0353,19.1099,19.4365,19.1666,66.7982,74.8822,77.6317,18.8295,0.041,1.02064383,18.70000076,19.93999977,-0.05950329,19.39999962,25.0,-4.604513264,20.56000023,20.56000023,18.93999977,19.14000053,92.11999817,0.8951823,1.083984399,0.652126741,0.894097221,0.691189241,0.980902791,0.001558602,142.2799988,0.431999959,0.0,0,19.0,1.023047495,1.032623625,1.026563716,1.018483972,19.7800003,19.93999977,19.64000053,19.7800003,19.79999924,19.5,0,0,0,0,0,0.056061894,0,0.268619794,0.268619794
17,17,17,17,1.0,2023-04-25 15:13:33,0.623999938,0.0,1.024281931,19.79999924,0.271744793,17,4.247410116,3:13:33 PM,26.0263,9.7059,3.1796,2.6967,102342.0018,43.4369,36.869,5.2831,12.4909,-1320.8469,-175.8147,3626.5395,3813.2328,639.4481,2251.7985,2727.0176,2489.4081,2031.1611,3032.5156,3015.5435,3507.7347,-908.0997,21.7113,22.1409,21.733,21.774,36.2107,40.2636,99.8072,19.7212,21.4477,20.037,20.5011,21.0209,19.0133,37.3932,27.8181,18.3543,18.4576,20.2355,20.0187,20.0815,19.068,19.1905,18.9675,65.7647,70.5074,73.1609,18.7901,0.041,1.02064383,18.70000076,19.95999985,-0.058954642,19.39999962,25.0,-4.600024605,20.54000015,20.54000015,18.95999985,19.16000061,90.57999878,0.906032991,1.086154556,0.6608073,0.890842009,0.697699654,0.983072937,0.001558602,142.9199981,0.623999938,0.0,0,19.0,1.024281931,1.033596182,1.02712481,1.018745804,19.82000008,19.95999985,19.66000061,19.82000008,19.79999924,19.5,0,0,0,0,0,0.31647855,0,0.271744793,0.271744793
18,18,18,18,1.0,2023-04-25 15:13:33,0.815999918,0.0,1.025516367,19.79999924,0.274869793,18,4.49725777,3:13:33 PM,39.1042,9.8587,3.0439,2.9391,102333.5153,43.4417,39.2371,1.9096,13.6508,-1263.4311,-176.6349,3762.3164,3830.2049,673.3923,2574.2686,2794.9061,2608.2129,2166.938,3032.5156,2998.5714,3507.7347,-908.0259,21.4964,22.5705,21.7166,21.7699,36.2107,40.2603,99.7914,19.4843,21.8389,19.8551,20.986,20.4898,19.071,37.9548,28.0347,18.4068,18.6696,20.3152,20.0659,20.2202,19.1686,18.8186,18.9139,61.5983,64.5815,68.3491,18.5962,0.0533,1.02064383,18.70000076,19.97999992,-0.058405994,19.39999962,25.0,-4.595535946,20.52000008,20.52000008,18.97999992,19.18000068,89.03999939,0.916883683,1.088324714,0.669487858,0.887586796,0.704210066,0.985243082,0.001558602,143.5599975,0.815999918,0.0,0,19.0,1.025516367,1.034568739,1.027685905,1.019007635,19.85999985,19.97999992,19.68000068,19.85999985,19.79999924,19.5,0,0,0,0,0,0.576895207,0,0.274869793,0.274869793
19,19,19,19,1.0,2023-04-25 15:13:33,1.007999897,0.0,1.026750803,19.79999924,0.277994792,19,4.747105424,3:13:33 PM,40.3681,10.019,2.7278,2.5475,102337.7585,43.4321,34.7013,-0.361,15.5229,-1264.2514,-177.4551,3864.1491,3965.9818,775.225,2794.9061,2862.7945,2727.0176,2149.9659,3151.3204,3117.3762,3626.5395,-907.952,21.2816,21.7113,21.733,21.7617,36.2136,40.2603,99.7993,19.5336,21.9362,19.9899,20.464,20.161,19.0625,37.1932,27.7609,18.2642,18.4039,20.0693,20.281,20.3952,19.0683,19.5771,18.7717,58.9834,60.215,63.823,19.0984,0.0287,1.02064383,18.70000076,20.0,-0.057857346,19.39999962,25.0,-4.591047287,20.5,20.5,19.0,19.20000076,87.5,0.927734375,1.090494871,0.678168416,0.884331584,0.710720479,0.987413228,0.001558602,144.1999969,1.007999897,0.0,0,19.0,1.026750803,1.035541296,1.028246999,1.019269466,19.89999962,20.0,19.70000076,19.89999962,19.79999924,19.5,0,0,0,0,0,0.837311864,0,0.277994792,0.277994792
20,20,20,20,2.0,2023-04-25 15:13:34,1.007999897,0.0,1.027966499,19.79999924,0.272786459,20,4.996953077,3:13:34 PM,40.0432,10.8528,2.6547,2.6579,102342.0018,43.4417,39.6378,2.8529,16.3979,-1262.6109,-173.354,4101.7586,3932.0375,877.0577,2896.7387,2981.5993,2862.7945,2149.9659,3270.1252,3236.181,3745.3443,-907.8782,21.7113,23.0002,21.7248,21.7658,36.2136,40.257,99.7993,19.5206,21.9984,19.9642,20.0066,19.928,19.1236,36.9275,27.9024,18.3888,18.7356,20.2116,20.4258,20.4997,19.015,19.3815,18.656,56.4897,55.5603,60.1131,19.3073,0.041,1.02064383,18.70000076,20.05000019,-0.057857346,19.39999962,25.0,-4.591047287,20.47499991,20.5,19.0,19.20000076,83.95000076,0.906032995,1.093207508,0.674099401,0.884331584,0.693088099,0.987413228,0.001558602,143.6999969,1.007999897,0.0,0,19.0,1.027966499,1.037364841,1.028246999,1.019269466,19.92499972,20.0,19.75000048,19.89999962,19.79999924,19.5,0,0,0,0,0,0.514955834,0,0.272786459,0.272786459
21,21,21,21,2.0,2023-04-25 15:13:34,1.007999897,0.0,1.029182196,19.79999924,0.267578126,21,5.246800731,3:13:34 PM,35.8488,11.678,2.7953,2.5906,102333.5153,43.4369,35.8975,5.9034,17.4052,-1260.9705,-174.1742,3949.0096,4084.7865,894.0298,2794.9061,3015.5435,2828.8503,2166.938,3388.93,3253.1531,3898.0933,-908.0259,21.7113,22.3557,21.7289,21.774,36.2136,40.257,99.8072,19.2899,22.2208,19.8146,19.5891,19.6179,18.8603,37.6598,27.9067,18.1783,18.5237,20.0998,20.4834,20.488,18.9739,19.1073,18.8864,53.9124,51.7736,56.8809,19.1298,0.0451,1.02064383,18.70000076,20.10000038,-0.057857346,19.39999962,25.0,-4.591047287,20.44999981,20.5,19.0,19.20000076,80.40000153,0.884331614,1.095920146,0.670030385,0.884331584,0.675455719,0.987413228,0.001558602,143.1999969,1.007999897,0.0,0,19.0,1.029182196,1.039188385,1.028246999,1.019269466,19.94999981,20.0,19.80000019,19.89999962,19.79999924,19.5,0,0,0,0,0,0.192599803,0,0.267578126,0.267578126
22,22,22,22,2.0,2023-04-25 15:13:34,1.007999897,0.0,1.030397892,19.79999924,0.262369793,22,5.496648385,3:13:34 PM,33.5475,12.4729,2.8287,2.578,102329.2721,43.4321,40.3483,1.2735,17.8529,-1253.5884,-177.4551,3898.0933,4067.8144,792.1971,2930.683,2964.6272,2913.7109,2149.9659,3388.93,3354.9857,3864.1491,-907.8782,21.2816,21.9261,21.7289,21.7699,36.2166,40.2636,99.7993,19.3357,22.2358,20.0859,19.6336,19.7056,19.0587,37.0395,27.8031,18.2499,18.4578,20.0208,20.5144,20.7441,19.0645,19.3304,18.831,51.9912,49.0219,54.0314,19.4822,0.041,1.02064383,18.70000076,20.15000057,-0.057857346,19.39999962,25.0,-4.591047287,20.42499972,20.5,19.0,19.20000076,76.85000229,0.862630234,1.098632783,0.66596137,0.884331584,0.657823339,0.987413228,0.001558602,142.6999969,1.007999897,0.0,0,19.0,1.030397892,1.04101193,1.028246999,1.019269466,19.97499991,20.0,19.84999991,19.89999962,19.79999924,19.5,0,0,0,0,0,-0.129756227,0,0.262369793,0.262369793
23,23,23,23,2.0,2023-04-25 15:13:34,1.007999897,0.0,1.031613588,19.79999924,0.25716146,23,5.746496039,3:13:34 PM,32.5634,13.0717,3.2785,2.4113,102337.7585,43.4321,38.4295,-0.2881,18.2701,-1235.5435,-174.1742,3898.0933,4186.6192,927.974,2930.683,2998.5714,2760.9619,2166.938,3405.9021,3371.9579,3864.1491,-907.7305,21.0668,22.3557,21.7207,21.7658,36.2166,40.257,99.7993,19.4522,22.3367,20.0929,19.6489,19.7567,19.0388,37.3242,27.6891,18.4113,18.845,20.0674,20.7705,20.8578,19.3354,19.4733,18.838,50.3315,46.1881,51.877,19.1717,0.0451,1.02064383,18.70000076,20.20000076,-0.057857346,19.39999962,25.0,-4.591047287,20.39999962,20.5,19.0,19.20000076,73.30000305,0.840928853,1.10134542,0.661892354,0.884331584,0.640190959,0.987413228,0.001558602,142.1999969,1.007999897,0.0,0,19.0,1.031613588,1.042835474,1.028246999,1.019269466,20.0,20.0,19.89999962,19.89999962,19.79999924,19.5,0,0,0,0,0,-0.452112257,0,0.25716146,0.25716146
