,Unnamed: 0.1,Unnamed: 0,elapsed_sec,_time,N1,N2,PR,Turbine_Exit,Power,Index,Channel_Time,P_NI_Box_P,T_NI_Box_C,P_Oil_psi,P_TM_Cooling_Snake_psi,P_Fuel_psi,P_Inlet_Mass_Flow_1_Pa,P_Inlet_Mass_Flow_2_Pa,P_PT_Exit_Flow_Pressure_5_Pa,P_Combustor_Pa,P_Impeller_Discharge_1_Pa,P_Impeller_Discharge_2_Pa,P_Impeller_Discharge_3_Pa,P_Impeller_Discharge_4_Pa,P_LSSP_Inlet_1_Pa,P_LSSP_Inlet_3_Pa,P_LSSP_Outlet_1_Pa,P_LSSP_Outlet_3_Pa,F_Axial_N,T_Gen_Embedded_pt_1_C,T_Gen_Embedded_pt_2_C,T_Gen_Fluid_in_ntc_C,T_Gen_Fluid_out_ntc_C,P_M_Fuel_psi,P_M_Anulus_psi,P_M_Mixer_psi,M_Fuel_Temp_rtd_C,P_Inlet_Mass_Flow_3_Pa,P_Inlet_Mass_Flow_4_Pa,BM_Inlet_1_Pa,T_Inlet_Air_c,T_Combustor_Can_Boot_c,T_Combustor_Cap_c,T_Seal_Bypass_Flow_1_c,T_Seal_Bypass_Flow_2_c,T_Turbine_Exit_Flow_c,T_Oil_Inlet_Flow_c,T_Oil_Outlet_Flow_c,T_TM_Cooling_Snake_In_c,T_TM_Cooling_Snake_Out_c,T_Heat_Shield_Cavity_c,T_Combustor_Can_Surface_1_c,T_Combustor_Can_Surface_2_c,T_Hot_Section_Housing_1_c,T_Methane_Anulus_c,T_Oil_Sump_Vent_Temperature_c,T_Cross_Duct_Flow_1_c,T_Cross_Duct_Flow_3_c,T_Cross_Duct_Flow_5_c,T_Turbine_Exit_Flow_4_c,xx_M_Annulus_c,xx_M_Exit_c,Ch1 RMS_[ m/s2 ],Ch2 RMS_[ m/s2 ],Ch1 Crest Factor_[ - ],Ch2 Crest Factor_[ - ],run_elapsed_sec,Index_y,t_stamp,atmospheric pressure,bearing temperature,co2 temperature,fuel inlet pressure,fuel inlet temperature,fuel regulator,fuel supply pressure,generator case temperature 1,generator case temperature 2,generator case temperature 3,generator case temperature 4,generator outlet temperature,generator phase1 current,generator phase1 voltage,generator phase2 current,generator phase2 voltage,generator phase3 current,generator phase3 voltage,inlet static pressure,inlet temperature,n1 speed sensor,n2 speed sensor,oil pressure,oil temperature,pt outlet pressure 1,pt outlet pressure 2,pt outlet pressure 3,pt outlet pressure 4,pt outlet temperature 1,pt outlet temperature 2,pt outlet temperature 3,pt outlet temperature 4,turbine outlet temperature 1,turbine outlet temperature 2,relay_st1,relay_st2,relay_st3,relay_st4,relay_st5,n2b analog,n2b speed sensor
0,0,0,0.0,12:32:52 PM,0.0,0.0,1.022636056,20.79999924,0.0018538172731127,0,12:32:52 PM,101438.7026,42.2171,37.2666,6.5645,-0.1288,15.9398,-105.4701,1996.7246,2047.6411,1911.8637,1793.0585,1674.2533,2013.6968,2268.2794,1742.142,1589.3924,2760.4725,-830.086,21.1558,22.0155,20.9099,20.9558,-0.476,-0.2545,-0.076,20.7178,12.8116,11.6514,2.5817,17.9394,2289.4777,2289.4777,19.3429,19.1931,20.379,48.0723,37.1314,19.1834,19.5424,22.8448,2289.4777,2289.4777,2289.4777,20.2065,17.8313,19.9482,19.5179,19.7541,20.1899,2289.3275,2289.3275,2.0682,8.391,3.6156,1.8212,0.0,56.0,12:30:52 PM,1.00797236,20.29999924,20.5,-0.195019171,20.10000038,0,-5.900280952,20.20000076,20.60000038,20.39999962,20.5,21.20000076,0.808376729,0.857204854,0.678168416,0.824652791,0.640190959,0.933159709,0.000155866,20.39999962,0.0,0.0,8.171603203,20.79999924,1.022636056,1.032361746,1.029930353,1.02450633,19.20000076,19.29999924,19.60000038,19.70000076,20.79999924,20.79999924,1,1,0.0,0.0,0.0,-0.515407979,0.0
1,1,1,1.0,12:32:53 PM,0.0,0.0,1.022636056,20.79999924,0.0018587931492385,1,12:32:53 PM,101434.4593,42.2171,37.4082,6.1713,-0.2417,15.9398,-106.2904,2013.6968,2200.3907,1894.8916,1640.3089,1725.1698,1979.7524,2353.1403,1759.1142,1606.3646,2743.5004,-830.012,21.3707,21.8006,20.9099,20.96,-0.4883,-0.2853,-0.0576,20.7094,13.9717,12.8116,1.9692,17.8147,2289.4333,2289.4333,19.2364,19.2742,20.3887,48.2082,37.0193,19.2276,19.6112,22.8773,2289.4333,2289.4333,2289.4333,20.0853,17.3544,19.8332,19.4147,19.5519,19.9023,2288.9487,2288.9487,2.1725,8.1887,3.6159,2.1383,1.0,56.3125,,1.00797236,20.33124935875,20.5,-0.195019171,20.06875026125,0,-5.901060133875,20.26250040375,20.63125049875,20.36874950125,20.5,21.20000076,0.808376729,0.8605956877500001,0.683254685375,0.8144802525625,0.6435818115,0.9365505615,0.000155866,20.43124973875,0.0,0.0,8.171603203,20.83124935875,1.022636056,1.032361746,1.02957965425,1.02450633,19.20000076,19.33124935875,19.60000038,19.70000076,20.79999924,20.79999924,1,1,0.0,0.0,0.0,-0.5137125624375,0.0
2,2,2,2.0,12:32:54 PM,0.0,0.0,1.022636056,20.79999924,0.0018637498622528,2,12:32:54 PM,101425.9728,42.2171,37.2543,6.9156,-0.0878,14.2991,-106.2904,2013.6968,2166.4464,1911.8637,1657.2811,1725.1698,1962.7803,2353.1403,1776.0863,1589.3924,2760.4725,-830.012,21.3707,21.8006,20.9141,20.96,-0.4883,-0.2483,-0.1006,20.7136,15.1318,13.3916,1.9692,17.6809,2289.3069,2289.3069,19.2921,19.1936,20.2306,48.068,36.8418,19.1704,19.6016,22.7744,2289.3069,2289.3069,2289.3069,20.0785,17.6186,20.0155,19.49,19.6981,20.0505,2289.2471,2289.2471,2.1726,8.5953,3.0005,2.1417,2.0,56.625,,1.00797236,20.3624994775,20.5,-0.195019171,20.0375001425,0,-5.90183931575,20.3250000475,20.6625006175,20.3374993825,20.5,21.20000076,0.808376729,0.8639865215,0.68834095475,0.804307714125,0.646972664,0.939941414,0.000155866,20.4624998575,0.0,0.0,8.171603203,20.8624994775,1.022636056,1.032361746,1.0292289555,1.02450633,19.20000076,19.3624994775,19.60000038,19.70000076,20.79999924,20.79999924,1,1,0.0,0.0,0.0,-0.512017145875,0.0
3,3,3,3.0,12:32:55 PM,0.0,0.0,1.022636056,20.79999924,0.0018686874121556,3,12:32:55 PM,101421.7295,42.2123,37.1005,6.0073,-0.098,15.1194,-105.4701,1996.7246,2064.6133,1894.8916,1793.0585,1725.1698,1979.7524,2285.2516,1759.1142,1572.4202,2794.4169,-829.9379,20.7259,21.5857,20.9183,20.9558,-0.4945,-0.2545,-0.0945,20.722,12.2315,10.4913,1.9896,17.9658,2289.4727,2289.4727,19.3982,19.2114,20.4267,48.1689,36.9361,19.1905,19.6334,22.8492,2289.4727,2289.4727,2289.4727,20.0626,17.6695,20.0622,19.478,19.7563,20.0436,2289.2101,2289.2101,2.2297,8.2127,3.8151,2.1479,3.0,56.9375,,1.00797236,20.39374959625,20.5,-0.195019171,20.00625002375,0,-5.902618497625,20.38749969125,20.69375073625,20.30624926375,20.5,21.20000076,0.808376729,0.86737735525,0.693427224125,0.7941351756875,0.6503635165,0.9433322665,0.000155866,20.49374997625,0.0,0.0,8.171603203,20.89374959625,1.022636056,1.032361746,1.02887825675,1.02450633,19.20000076,19.39374959625,19.60000038,19.70000076,20.79999924,20.79999924,1,1,0.0,0.0,0.0,-0.5103217293125,0.0
4,4,4,4.0,12:32:56 PM,0.0,0.0,1.022636056,20.79999924,0.0018538172314497,4,12:32:56 PM,101425.9728,42.2171,37.1251,6.3122,-0.098,14.2991,-101.3684,2013.6968,2098.5577,1911.8637,1793.0585,1742.142,1962.7803,2268.2794,1759.1142,1606.3646,2760.4725,-829.6419,20.511,21.8006,20.9099,20.96,-0.4083,-0.2483,-0.0883,20.722,16.872,15.1318,2.6021,17.9616,2289.4797,2289.4797,19.3267,19.3165,20.3055,48.2186,36.9463,19.2074,19.5838,22.8163,2289.4797,2289.4797,2289.4797,20.0341,17.5431,19.8513,19.3476,19.6408,19.8839,2288.8829,2288.8829,2.2096,8.2767,3.9108,1.8968,4.0,58.0,12:30:56 PM,1.00797236,20.39999962,20.5,-0.195019171,20.0,0,-5.892799377,20.60000038,20.70000076,20.29999924,20.5,21.20000076,0.792100668,0.868055522,0.694444478,0.792100668,0.640190959,0.954861104,0.000155866,20.39999962,0.0,0.0,8.171603203,20.89999962,1.022636056,1.032361746,1.029930353,1.02450633,19.20000076,19.39999962,19.60000038,19.70000076,20.79999924,20.79999924,1,1,0.0,0.0,0.0,-0.506365716,0.0
5,5,5,5.0,12:32:57 PM,0.0,0.0,1.022636056,20.83124935875,0.0018571431663791,5,12:32:57 PM,101417.4863,42.2171,37.1497,5.8538,-0.0878,14.2991,-107.9311,2013.6968,2064.6133,1894.8916,1793.0585,1725.1698,1962.7803,2302.2238,1759.1142,1572.4202,2760.4725,-829.5679,21.3707,22.2305,20.9099,20.9642,-0.3653,-0.2545,-0.0637,20.7178,11.6514,9.9112,2.5817,18.0168,2289.3594,2289.3594,19.3289,19.1126,20.3597,48.2439,36.9363,19.0935,19.5727,22.8706,2289.3594,2289.3594,2289.3594,19.9708,17.3495,19.9282,19.4007,19.6747,20.0547,2289.0995,2289.0995,2.175,8.3089,4.0988,2.2046,5.0,58.3125,,1.00797236,20.39999962,20.46874988125,-0.195019171,20.0,0,-5.890461533875,20.56875026125,20.70000076,20.23749959625,20.46874988125,21.16875064125,0.78870983425,0.86466468825,0.696139876125,0.8005777895625,0.640190959,0.956556520875,0.000155866,20.43124973875,0.0,0.0,8.171603203,20.89999962,1.022636056,1.03277085725,1.029930353,1.02450633,19.20000076,19.36874950125,19.60000038,19.70000076,20.83124935875,20.79999924,1,1,0.0,0.0,0.0,-0.5086262781875001,0.0
6,6,6,6.0,12:32:58 PM,0.0,0.0,1.022636056,20.8624994775,0.0018604614360128,6,12:32:58 PM,101438.7026,42.2219,37.162,5.0023,-0.1801,15.9398,-105.4701,1928.8359,2064.6133,1894.8916,1793.0585,1759.1142,1996.7246,2268.2794,1776.0863,1606.3646,2641.6673,-829.4939,21.3707,21.5857,20.9183,20.9642,-0.3283,-0.2545,-0.1191,20.7178,17.4521,15.1318,1.9692,17.8496,2289.4451,2289.4451,19.392,19.1658,20.3848,48.2056,36.8997,19.1257,19.6514,22.8562,2289.4451,2289.4451,2289.4451,20.0196,17.3399,19.8479,19.3598,19.6219,19.9403,2289.0428,2289.0428,2.1576,8.3984,3.0494,2.0089,6.0,58.625,,1.00797236,20.39999962,20.4374997625,-0.195019171,20.0,0,-5.88812369075,20.5375001425,20.70000076,20.1749999525,20.4374997625,21.1375005225,0.7853190005,0.8612738545,0.69783527425,0.809054911125,0.640190959,0.95825193775,0.000155866,20.4624998575,0.0,0.0,8.171603203,20.89999962,1.022636056,1.0331799685,1.029930353,1.02450633,19.20000076,19.3374993825,19.60000038,19.70000076,20.8624994775,20.79999924,1,1,0.0,0.0,0.0,-0.510886840375,0.0
7,7,7,7.0,12:32:59 PM,0.0,0.0,1.022636056,20.89374959625,0.0018637720403506,7,12:32:59 PM,101434.4593,42.2219,37.1251,4.6007,-0.2314,15.1194,-104.6498,1928.8359,2064.6133,1928.8359,1827.0029,1674.2533,1979.7524,2285.2516,1759.1142,1606.3646,2760.4725,-829.3459,21.3707,22.4454,20.9183,20.96,-0.3283,-0.2545,-0.0945,20.7136,15.1318,13.9717,1.9692,17.8738,2289.5991,2289.5991,19.4463,19.2706,20.5572,48.2856,37.0813,19.2601,19.7376,22.9946,2289.5991,2289.5991,2289.5991,19.9536,17.7933,19.75,19.4828,19.5813,20.0185,2289.0081,2289.0081,2.2468,8.4552,3.4267,2.0231,7.0,58.9375,,1.00797236,20.39999962,20.40624964375,-0.195019171,20.0,0,-5.885785847625,20.50625002375,20.70000076,20.11250030875,20.40624964375,21.10625040375,0.78192816675,0.85788302075,0.699530672375,0.8175320326875,0.640190959,0.959947354625,0.000155866,20.49374997625,0.0,0.0,8.171603203,20.89999962,1.022636056,1.03358907975,1.029930353,1.02450633,19.20000076,19.30624926375,19.60000038,19.70000076,20.89374959625,20.79999924,1,1,0.0,0.0,0.0,-0.5131474025625,0.0
8,8,8,8.0,12:33:00 PM,0.0,0.0,1.022636056,20.89999962,0.0018319966314917,8,12:33:00 PM,101434.4593,42.2219,37.2543,3.9804,-0.1493,20.0414,-104.6498,2013.6968,2081.5855,1928.8359,1793.0585,1623.3368,1979.7524,2336.1681,1759.1142,1589.3924,2760.4725,-829.1238,20.7259,21.8006,20.9099,20.96,-0.1868,-0.3037,-0.0883,20.7136,12.8116,11.6514,1.9896,17.6869,2289.3945,2289.3945,19.3158,19.1185,20.5472,48.2289,36.7948,19.1354,19.5809,22.7755,2289.3945,2289.3945,2289.3945,20.0029,17.7315,19.8463,19.4481,19.643,20.1426,2289.1632,2289.1632,2.2471,8.4399,3.6987,2.3062,8.0,60.0,12:31:00 PM,1.00797236,20.39999962,20.39999962,-0.195019171,20.0,0,-5.880330563,20.29999924,20.70000076,20.10000038,20.39999962,21.10000038,0.78125,0.873480916,0.672743082,0.797526062,0.656467021,0.933159709,0.000155866,20.60000038,0.0,0.0,8.171603203,20.89999962,1.022636056,1.032548666,1.029930353,1.02450633,19.20000076,19.29999924,19.60000038,19.70000076,20.89999962,20.79999924,1,1,0.0,0.0,0.0,-0.509982646,0.0
9,9,9,9.0,12:33:01 PM,0.0,0.0,1.0219931081875,20.93124973875,0.0018331893347159,9,12:33:01 PM,101421.7295,42.2171,37.3282,5.4922,-0.1185,-459.8559,-109.5718,1742.142,1860.9472,-956.4338,418.3123,723.8115,-141.7694,1283.8932,995.3663,1080.2271,2777.4447,-829.0498,21.3707,22.2305,20.9099,20.96,-0.236,-0.3037,-0.1437,20.7136,80.0989,107.942,1.9896,17.6714,2289.4098,2289.4098,19.3292,19.3114,20.3839,48.3039,37.1713,19.1396,19.5652,22.9375,2289.4098,2289.4098,2289.4098,20.1245,18.7419,20.4504,19.7448,20.0027,20.0856,2289.1721,2289.1721,11.0892,8.5438,3.7452,1.9335,9.0,60.3125,,1.00797236,20.43124973875,20.43124973875,-0.1830954478749999,20.0,0,-5.882668406125,20.33124935875,20.76250040375,20.16250002375,20.43124973875,21.0375001425,0.78125,0.8700900635,0.677829351375,0.799221478875,0.651380751625,0.9365505615,0.000155866,20.63125049875,0.0,0.0,8.171603203,20.93124973875,1.0219931081875,1.03208110475,1.029930353,1.02503234125,19.35625076,19.33124935875,19.66250002375,19.7937505225,20.93124973875,20.83124935875,1,1,0.0,0.0,0.0,-0.509982646,0.0
