,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,elapsed_sec,_time,N1,N2,PR,Turbine_Exit,Power,t_stamp,atmospheric pressure,bearing temperature,co2 temperature,fuel inlet pressure,fuel inlet temperature,fuel regulator,fuel supply pressure,generator case temperature 1,generator case temperature 2,generator case temperature 3,generator case temperature 4,generator outlet temperature,generator phase1 current,generator phase1 voltage,generator phase2 current,generator phase2 voltage,generator phase3 current,generator phase3 voltage,inlet static pressure,inlet temperature,n1 speed sensor,n2 speed sensor,oil pressure,oil temperature,pt outlet pressure 1,pt outlet pressure 2,pt outlet pressure 3,pt outlet pressure 4,pt outlet temperature 1,pt outlet temperature 2,pt outlet temperature 3,pt outlet temperature 4,turbine outlet temperature 1,turbine outlet temperature 2,[PostgresConnection]digitals/relay_st1,[PostgresConnection]digitals/relay_st2,[PostgresConnection]digitals/relay_st3,[PostgresConnection]digitals/relay_st4,[PostgresConnection]digitals/relay_st5,n2b analog,n2b speed sensor,voltage,current,power
0,0,0,0,0.0,2023-04-25 16:06:00,0.048,0.0,1.04077816,21.5,0.0019475266165907,4:06:00 PM,1.008533478,21.5,22.10000038,-0.067832753,21.5,20,-4.713242054,22.29999924,22.20000076,22.39999962,22.5,22.10000038,0.797526062,0.889756978,0.699869752,0.830078125,0.678168416,0.965711832,-6.23465e-05,21.20000076,0.048,0.0,0,21.60000038,1.04077816,1.0536834,1.050877929,1.045266867,22.10000038,22.39999962,22.20000076,22.5,21.5,21.60000038,1,1,0,0,0,-0.46477142,0.0,0.8951823116666665,2.17556423,0.0019475266165907112
1,1,1,1,2.0,2023-04-25 16:06:02,0.048,0.0,1.04077816,21.5,0.001950519050957,4:06:02 PM,1.008533478,21.5,22.10000038,-0.066585831,21.39999962,20,-4.710748196,22.39999962,22.20000076,22.39999962,22.5,22.10000038,0.808376729,0.900607646,0.699869752,0.830078125,0.661892354,0.965711832,-6.23465e-05,21.20000076,0.048,0.0,0,21.60000038,1.04077816,1.0536834,1.050877929,1.045266867,22.20000076,22.39999962,22.10000038,22.29999924,21.5,21.60000038,1,1,0,0,0,-0.457537591,0.0,0.8987992010000001,2.170138835,0.001950519050957071
2,2,2,2,2.0,2023-04-25 16:06:02,0.048,0.0,1.04077816,21.5,0.0019426698989529,4:06:02 PM,1.008533478,21.5,22.10000038,-0.066585831,21.39999962,20,-4.710748196,22.39999962,22.20000076,22.39999962,22.5,22.10000038,0.808376729,0.889756978,0.699869752,0.830078125,0.661892354,0.965711832,-6.23465e-05,21.20000076,0.048,0.0,0,21.60000038,1.04077816,1.0536834,1.050877929,1.045266867,22.10000038,22.39999962,22.10000038,22.29999924,21.5,21.60000038,1,1,0,0,0,-0.46477142,0.0,0.8951823116666665,2.170138835,0.0019426698989529066
3,3,3,3,4.0,2023-04-25 16:06:04,0.048,0.0,1.04077816,21.39999962,0.0019348207035459,4:06:04 PM,1.008533478,21.5,22.20000076,-0.067832753,21.5,20,-4.708254337,22.39999962,22.20000076,22.39999962,22.5,22.10000038,0.808376729,0.889756978,0.699869752,0.830078125,0.661892354,0.954861104,-6.23465e-05,21.20000076,0.048,0.0,0,21.60000038,1.04077816,1.0536834,1.050877929,1.045266867,22.10000038,22.39999962,22.10000038,22.29999924,21.39999962,21.5,1,1,0,0,0,-0.461154521,0.0,0.8915654023333333,2.170138835,0.0019348207035459661
4,4,4,4,5.0,2023-04-25 16:06:05,0.048,0.0,1.04077816,21.39999962,0.0019056218152146,4:06:05 PM,1.008533478,21.5,22.20000076,-0.06608706,21.5,20,-4.695785522,22.5,22.20000076,22.39999962,22.5,22.20000076,0.797526062,0.873480916,0.699869752,0.819227457,0.661892354,0.954861104,-6.23465e-05,21.20000076,0.048,0.0,0,21.60000038,1.04077816,1.0536834,1.050877929,1.045266867,22.20000076,22.39999962,22.20000076,22.29999924,21.39999962,21.5,1,1,0,0,0,-0.466579854,0.0,0.8825231589999999,2.159288168,0.0019056218152146821
5,5,5,5,5.0,2023-04-25 16:06:05,0.048,0.0,1.04077816,21.39999962,0.001917336717914,4:06:05 PM,1.008533478,21.5,22.20000076,-0.06608706,21.5,20,-4.718229771,22.5,22.20000076,22.39999962,22.5,22.20000076,0.797526062,0.889756978,0.699869752,0.819227457,0.661892354,0.954861104,-6.23465e-05,21.20000076,0.048,0.0,0,21.60000038,1.04077816,1.0536834,1.050877929,1.045266867,22.20000076,22.39999962,22.20000076,22.29999924,21.39999962,21.5,1,1,0,0,0,-0.466579854,0.0,0.887948513,2.159288168,0.0019173367179140938
6,6,6,6,7.0,2023-04-25 16:06:07,0.048,0.0,1.04077816,21.39999962,0.0019407664801271,4:06:07 PM,1.008533478,21.5,22.20000076,-0.067333981,21.5,20,-4.703267097,22.5,22.20000076,22.39999962,22.39999962,22.20000076,0.797526062,0.900607646,0.716145813,0.830078125,0.645616293,0.965711832,-6.23465e-05,21.20000076,0.048,0.0,0,21.60000038,1.04077816,1.0536834,1.049194574,1.045266867,22.10000038,22.39999962,22.20000076,22.39999962,21.39999962,21.5,1,1,0,0,0,-0.461154521,0.0,0.8987992010000001,2.159288168,0.0019407664801271538
7,7,7,7,7.0,2023-04-25 16:06:07,0.048,0.0,1.04077816,21.39999962,0.0019145109701981,4:06:07 PM,1.008533478,21.5,22.20000076,-0.067333981,21.5,20,-4.713242054,22.5,22.20000076,22.39999962,22.39999962,22.20000076,0.797526062,0.884331584,0.699869752,0.830078125,0.645616293,0.965711832,-6.23465e-05,21.20000076,0.048,0.0,0,21.60000038,1.04077816,1.0536834,1.049194574,1.045266867,22.10000038,22.39999962,22.20000076,22.39999962,21.39999962,21.5,1,1,0,0,0,-0.466579854,0.0,0.893373847,2.1430121069999997,0.0019145109701981652
8,8,8,8,9.0,2023-04-25 16:06:09,0.048,0.0,1.042087436,21.20000076,0.0019435921310548,4:06:09 PM,1.008533478,21.5,22.20000076,-0.067333981,21.5,20,-4.715735912,22.5,22.20000076,22.39999962,22.39999962,22.20000076,0.808376729,0.884331584,0.699869752,0.830078125,0.667317688,0.965711832,-6.23465e-05,21.20000076,0.048,0.0,0,21.60000038,1.042087436,1.0536834,1.050316811,1.045266867,22.10000038,22.29999924,22.39999962,22.39999962,21.20000076,21.29999924,1,1,0,0,0,-0.461154521,0.0,0.893373847,2.1755641690000003,0.0019435921310548886
9,9,9,9,9.0,2023-04-25 16:06:09,0.048,0.0,1.040217042,21.20000076,0.0019435921310548,4:06:09 PM,1.008533478,21.5,22.20000076,-0.067333981,21.5,20,-4.700772762,22.5,22.20000076,22.39999962,22.39999962,22.20000076,0.808376729,0.884331584,0.699869752,0.830078125,0.667317688,0.965711832,-6.23465e-05,21.20000076,0.048,0.0,0,21.60000038,1.040217042,1.0536834,1.050316811,1.045266867,22.10000038,22.39999962,22.39999962,22.39999962,21.20000076,21.29999924,1,1,0,0,0,-0.461154521,0.0,0.893373847,2.1755641690000003,0.0019435921310548886
