Date,Player,Ones,Twos,Threes,Fours,Fives,Sixes,3OfKind,4OfKind,FullHouse,SmallStraight,LargeStraight,Yahtzee,Chance,YahtzeeBonus,UserScore,TopTotal,BottomTotal,Score_Total,Score_Error
0,Clare,2,6,6,16,10,24,20,0,25,30,40,0,19,0,233,99,134,233,0
0,Clare,1,4,9,12,20,18,22,22,0,30,40,0,24,0,237,99,138,237,0
0,Grey,3,2,6,8,15,18,17,0,25,30,40,0,18,0,172,52,130,182,10
0,Grey,2,6,6,8,15,18,17,0,25,30,40,0,21,0,178,55,133,188,10
11/21/2012,Grey,1,4,6,8,5,12,26,0,25,30,40,50,25,0,236,36,196,232,-4
3/28/2013,Grey,2,2,0,12,10,18,24,25,25,30,40,50,25,0,263,44,219,263,0
7/9/2013,Grey,2,2,9,12,15,12,0,23,25,30,40,50,24,0,244,52,192,244,0
1/0/1900,Simon,4,8,9,16,15,12,25,9,25,30,40,0,21,0,249,99,150,249,0
1/0/1900,Charles,4,6,9,8,15,24,18,0,25,30,0,0,27,0,201,101,100,201,0
1/0/1900,Charles,2,6,12,12,15,18,15,19,25,30,40,0,18,0,247,100,147,247,0
1/0/1900,Charles,1,4,9,12,15,18,21,0,25,30,40,0,20,0,195,59,136,195,0
1/0/1900,Charles,3,6,9,12,15,18,21,17,25,30,40,0,21,0,252,98,154,252,0
1/0/1900,Charles,4,6,9,12,15,6,27,16,25,30,40,0,23,0,213,52,161,213,0
7/9/2013,Charles,1,8,3,16,15,24,26,29,25,30,0,0,19,0,231,102,129,231,0
7/21/1999,Jena,3,2,3,8,10,24,17,28,25,30,40,50,24,0,244,50,214,264,20
7/21/1999,Jena,3,4,3,8,15,18,21,28,25,30,40,0,22,0,212,51,166,217,5
12/25/2005,Jena,4,2,9,8,10,18,27,0,25,0,0,0,24,0,127,51,76,127,0
7/21/1999,Hannah,2,6,12,12,10,12,19,25,25,30,0,0,16,0,174,54,115,169,-5
1/0/1900,Hannah,2,6,6,8,15,18,12,0,25,0,40,0,26,0,158,55,103,158,0
1/0/1900,Hannah,1,8,6,8,10,18,10,21,25,30,40,0,24,0,201,51,150,201,0
1/0/1900,Hannah,3,6,6,16,15,6,0,21,0,30,40,0,23,0,130,52,114,166,36
1/0/1900,Hannah,3,4,9,12,15,12,20,0,25,30,40,50,22,0,242,55,187,242,0
12/25/2005,Maddy,2,8,6,16,10,24,13,18,25,30,40,0,25,0,252,101,151,252,0
1/0/1900,Liana,1,0,6,12,5,18,24,18,25,0,40,0,23,0,202,42,130,172,-30
1/0/1900,Clare,1,8,9,12,20,18,25,17,25,30,40,50,16,0,306,103,203,306,0
11/23/2023,Mason,4,2,9,8,0,18,25,25,25,30,40,0,23,0,209,41,168,209,0
1/0/1900,Simon,3,6,9,16,15,18,27,0,25,30,40,0,17,0,241,102,139,241,0
1/0/1900,Simon,1,8,6,16,20,24,22,0,0,30,0,50,21,0,233,110,123,233,0
1/0/1900,Simon,1,4,3,16,15,18,25,0,25,30,40,0,18,0,195,57,138,195,0
1/0/1900,Simon,3,2,12,12,20,18,25,0,25,30,40,0,24,0,256,102,144,246,-10
1/0/1900,Simon,3,8,12,4,15,18,24,22,25,30,40,0,23,0,224,60,164,224,0
1/0/1900,Simon,1,4,3,8,20,18,25,25,25,30,40,0,25,0,225,54,170,224,-1
1/0/1900,Simon,0,4,3,16,15,18,27,0,25,30,40,50,20,0,248,56,192,248,0
1/0/1900,Simon,2,8,9,12,10,24,27,0,25,30,40,50,17,0,289,100,189,289,0
1/0/1900,Simon,1,2,6,4,15,18,0,0,25,30,40,50,26,0,217,46,171,217,0
1/0/1900,Simon,2,6,9,8,20,18,26,0,25,30,40,0,25,0,244,98,146,244,0
1/0/1900,Simon,1,8,9,4,15,18,23,28,25,30,40,0,19,0,218,55,165,220,2
1/0/1900,Simon,4,4,0,8,15,18,25,0,25,30,0,50,22,0,201,49,152,201,0
1/0/1900,Simon,2,2,0,20,15,18,25,0,25,30,0,50,22,100,309,57,252,309,0
1/0/1900,Simon,2,6,6,16,10,6,0,0,25,30,40,50,23,0,214,46,168,214,0
1/0/1900,Simon,2,6,9,12,15,12,24,21,25,30,40,0,25,0,221,56,165,221,0
1/0/1900,Simon,1,6,9,12,15,24,26,22,25,30,40,0,18,0,263,102,161,263,0
1/0/1900,Simon,3,6,9,12,15,18,23,0,0,30,0,50,13,0,214,98,116,214,0
1/0/1900,Vi,1,2,3,16,15,24,22,13,25,30,0,50,21,0,222,61,161,222,0
1/0/1900,Vi,1,4,12,4,20,24,24,0,25,30,40,0,25,0,244,100,144,244,0
1/0/1900,Vi,3,4,12,4,15,24,25,27,25,30,40,0,21,0,239,62,168,230,-9
1/0/1900,Vi,1,4,6,8,10,24,21,0,25,30,40,50,12,200,431,53,378,431,0
1/0/1900,Vi,1,2,6,12,20,18,20,14,25,30,40,0,22,0,210,59,151,210,0
1/0/1900,Vi,2,2,6,12,20,24,9,17,25,30,40,0,25,0,247,101,146,247,0
1/0/1900,Grey,1,6,3,12,15,24,21,26,25,30,40,0,19,0,212,61,161,222,10
1/0/1900,Grey,2,4,9,4,15,18,11,6,25,30,40,0,19,0,183,52,131,183,0
1/0/1900,Vi,1,6,3,4,15,24,23,0,25,30,0,50,23,200,404,53,351,404,0
1/0/1900,Vi,0,0,9,8,15,24,25,25,25,30,40,0,19,0,220,56,164,220,0
1/0/1900,Vi,2,6,6,8,20,18,20,0,25,30,40,0,22,0,197,60,137,197,0
1/0/1900,Vi,3,6,9,12,15,18,20,28,25,30,40,50,22,100,413,98,315,413,0
1/0/1900,Vi,1,2,3,8,20,24,17,28,25,0,40,0,15,0,183,58,125,183,0
1/0/1900,Vi,1,4,6,12,15,24,23,26,25,30,40,50,22,0,278,62,216,278,0
1/0/1900,Simon,1,2,12,4,15,18,24,0,25,30,40,0,25,0,196,52,144,196,0
1/0/1900,Simon,2,8,9,4,5,12,25,0,25,30,0,0,15,0,135,40,95,135,0
1/0/1900,Simon,1,4,12,12,15,18,23,0,25,30,40,0,20,0,200,62,138,200,0
1/0/1900,Simon,4,0,12,16,15,24,23,26,25,0,40,0,21,0,244,106,135,241,-3
1/0/1900,Simon,1,6,9,12,20,18,28,0,25,30,40,0,21,0,243,101,144,245,2
1/0/1900,Simon,3,6,6,16,15,24,23,24,25,30,40,50,17,0,314,105,209,314,0
1/0/1900,Laura,1,6,9,12,15,18,23,28,0,30,40,0,16,0,193,61,137,198,5
1/0/1900,Laura,2,0,9,16,20,24,18,7,25,30,0,0,14,0,200,106,94,200,0
1/0/1900,Laura,3,4,9,8,20,6,28,0,25,30,40,50,17,0,240,50,190,240,0
1/0/1900,Laura,2,6,9,4,15,18,14,0,25,30,40,50,12,100,325,54,271,325,0
1/0/1900,Al,3,6,6,12,10,24,19,17,25,30,0,0,26,0,173,61,117,178,5
1/0/1900,Charles,2,2,6,16,10,6,23,13,25,30,0,50,22,0,205,42,163,205,0
1/0/1900,Grey,3,4,12,16,15,12,25,0,25,30,40,0,22,0,204,62,142,204,0
1/0/1900,Vi,3,8,3,12,15,18,22,0,25,30,40,0,22,0,198,59,139,198,0
1/0/1900,Vi,2,6,9,12,10,12,23,12,25,30,40,0,18,0,199,51,148,199,0
1/0/1900,Vi,1,8,9,12,20,18,20,29,25,30,40,50,18,0,325,103,212,315,-10
