,Unnamed: 0.1,Unnamed: 0,elapsed_sec,_time,N1,N2,PR,Turbine_Exit,Power,ACC_NI_CH1_FFT,ACC_NI_CH1_RMS,ACC_NI_CH2_FFT,ACC_NI_CH2_RMS,ACC_NI_CH3_FFT,ACC_NI_CH3_RMS,CV_PLC_Control_Call,CV_PLC_Control_Mode,CV_PLC_Diag,CV_PLC_Fuel_Call,CV_PLC_Fuel_Signal_AO,CV_PLC_Fuel_Temp_Set,CV_PLC_N1_Max,CV_PLC_N2_Max,CV_PLC_Passive_kW,CV_PLC_Stage,CV_PLC_Target_N2,CV_PLC_Volt_Max,DO_PLC_Air_Valve,DO_PLC_Fuel_Enable,DO_PLC_Fuel_Heater,DO_PLC_Igniter,DO_PLC_System_Enable,D_NI_Displacement_Probe_1,FP_PLC_Fuel_1,FP_PLC_Oil_Inlet_1,F_PLC_Axial_Force_1,I_PLC_Phase_1,I_PLC_Phase_2,I_PLC_Phase_3,N_PLC_N1,N_PLC_N2,N_PLC_N2b,P_NI_Bellmouth_Pressure_2,P_NI_Combustor_Can_1,P_NI_Generator_Cooling_Inlet_1,P_NI_Impeller_Exit_1,P_NI_Impeller_Exit_2,P_NI_Impeller_Exit_3,P_NI_Impeller_Exit_4,P_NI_Inlet_Mass_Flow_2,P_NI_Inlet_Mass_Flow_3,P_NI_LP_Inlet_1,P_NI_LP_Inlet_2,P_NI_LP_Outlet_Pressure_1,P_NI_LP_Outlet_Pressure_2,P_NI_Lab_Seal_Downstream_1,P_NI_Lab_Seal_Downstream_2,P_NI_Lab_Seal_Downstream_3,P_NI_Lab_Seal_Downstream_4,P_NI_Lab_Seal_Upstream_1,P_NI_Lab_Seal_Upstream_2,P_NI_Lab_Seal_Upstream_3,P_NI_Lab_Seal_Upstream_4,P_NI_Oil_Sump_Cooling_Inlet_1,P_NI_Turbine_Diffuser_Exit_2,P_PLC_Bellmouth_Pressure_1,P_PLC_Inlet_MF,P_PLC_PT_Exit_1,P_PLC_PT_Exit_2,P_PLC_PT_Exit_3,P_PLC_Turbine_Diffuser_Exit,T_NI_Engine_Frame_1,T_NI_Generator_Cooling_Inlet_1,T_NI_Generator_Cooling_Outlet_2,T_NI_Generator_Stator_1,T_NI_Generator_Stator_2,T_NI_Inlet_2,T_NI_Inlet_3,T_NI_N2_Front_Bearing_21,T_NI_Oil_Sump_Cooling_Inlet_1,T_NI_Oil_Sump_Cooling_Outlet_1,T_NI_PT_Exit_1,T_NI_PT_Exit_2,T_NI_PT_Exit_3,T_NI_PT_Exit_4,T_NI_PT_Outlet_Duct_3,T_NI_PT_Outlet_Duct_4,T_NI_PT_Outlet_Duct_5,T_NI_PT_Outlet_Duct_6,T_NI_PT_Outlet_Duct_7,T_NI_Seal_Bypass_1,T_NI_Seal_Bypass_2,T_NI_Seal_Bypass_3,T_NI_Seal_Bypass_4,T_NI_Turbine_Exit_1,T_NI_Turbine_Exit_2,T_PLC_Fuel_Inlet_1,T_PLC_Inlet_1,T_PLC_N2_Front_Bearing_1,T_PLC_Oil_Inlet_1,T_PLC_Oil_Outlet_1,T_PLC_PT_Outlet_Duct_1,T_PLC_PT_Outlet_Duct_2,T_PLC_TC_10,T_PLC_TC_11,T_PLC_TC_12,T_PLC_TC_13,T_PLC_TC_14,T_PLC_TC_15,T_PLC_Turbine_Exit_1,T_PLC_Turbine_Exit_2,VF_PLC_Fuel,V_PLC_Phase_1,V_PLC_Phase_2,V_PLC_Phase_3,cc_call,cc_fuel_manual,cc_ll,cc_max_dec,cc_max_inc,cc_n2_setpoint,cv_control_mode,cv_et,cv_n1_max,cv_n2_max,cv_pid_d,cv_pid_i,cv_pid_p,cv_stage,cv_v_max,spare_420,spare_tc,fuel_gph,fuel_kgs
6,6,6,0.0,2023-02-10 00:12:02.396090+00:00,0.0,0.0,1.014984784932971,37.9,0.04,0.0,8.8282579530955,0.0,1.396537953086786,0.0,6.96477281257885,22.5,100.0,0.0,13.0,13.0,70.0,150.0,40.0,0.04,22.5,0.0,145.0,1.0,0.25,0.0,0.25,1.0,36.40716569908407,2.435,39.3,-52.23,3.8625,3.52,3.42,0.0,0.0,0.0,0.0032963639674361,1.114094881347825,9.463431267454856,437.9366600834356,3.286530246193806,3.18469733364757,4.135137869355631,0.5255088754041601,0.2528787796902851,-0.0014434122552291,-0.0127613852084422,-0.0229475607379772,-0.0168311759746657,1.436565742258246,1.249872085369269,0.435208873689362,1.131067031805024,2.387006201834112,0.4521810236286043,3.592028986698871,2.760393536500317,2.710420192512732,-0.0365291279217139,0.0,135.3475,2.2175,1.02,1.3175,-1.14,53.77818429160664,15.85674249038378,15.42993045114241,1123.085548797423,28.55380121676928,19.23267821086452,2293.694308313597,14.92228370000559,16.0099071323643,17.32097175077825,15.10927125081216,15.10880613786598,14.95600837457632,14.94391409913328,14.6719988547374,14.46029331292744,14.65408648918281,14.43888842550471,14.56568460041288,16.65166304877778,16.49415676730475,16.48323750332709,16.44420621661534,31.21050929656285,2293.694308313597,76.975,30.075,22.325,29.7,42.0,-3276.8,22.125,23.7,-3276.8,-3276.8,-3276.8,-3276.8,-3276.8,37.9,34.175,0.0075,3.8625,3.8675,4.0325,22.5,52.0,0.0,0.5,0.25,15.0,100.0,0.725,150.0,40.0,0.0,0.1,1.5,22.5,145.0,59.26,-120.425,0.118877479586095,0.0001021249999999
7,7,7,0.137092,2023-02-10 00:12:02.533182+00:00,0.0,0.0,1.018060695780903,37.9,0.04,0.0,9.051454546955664,0.0,1.430828337264277,0.0,7.025615480456802,25.0,100.0,0.0,26.0,26.0,70.0,150.0,40.0,0.04,25.0,0.0,145.0,1.0,0.5,0.0,0.5,1.0,36.35575270368832,4.22,39.32,-52.23,3.885,3.52,3.42,0.0,0.0,0.0,0.0032555276531002,0.8170822524312484,8.854182909603049,441.433139543289,5.289244384607994,4.635816431768703,5.153467085577468,0.5432008337910939,0.6258601318565418,-0.0088000946601773,-0.0189862702460166,-0.0235134593747554,-0.0148914122335257,3.201669557367048,2.964059425535098,0.3842924240071035,2.913142975369031,3.999360707655995,0.4691531735872125,4.627330331070212,4.576413923429346,2.79862774549166,-0.0399245196771893,0.0,142.065,2.545,1.31,1.635,-1.14,53.74531109673143,15.85709113937681,15.43981179783432,1123.085548797423,28.76879669515321,17.28003535612805,2293.701254547869,14.93065677189318,16.01002333576996,17.32271308495117,15.66753363266186,15.59572733766943,15.67466640980512,15.69208532904183,14.95749189721024,14.8418726046561,15.19451443427544,14.88267542170635,15.1454319559341,16.6925459681836,16.56501178193166,16.5647788615205,16.4332865021988,31.21142653713222,2293.701254547869,76.95,29.75,22.35,29.7,42.0,-3276.8,22.15,23.7,-3276.8,-3276.8,-3276.8,-3276.8,-3276.8,37.9,34.15000000000001,0.015,3.885,3.885,4.055,25.0,52.0,0.0,0.5,0.25,15.0,100.0,0.8500000000000001,150.0,40.0,0.0,0.1,1.5,25.0,145.0,59.26,-104.95,0.23775495917219,0.0002042499999999
8,8,8,0.497892,2023-02-10 00:12:02.893982+00:00,0.0,0.0,1.021136606628834,37.9,0.04,0.0,9.550339038159953,0.0,1.552052071735336,0.0,7.030525348030599,27.5,100.0,0.0,39.0,39.0,70.0,150.0,40.0,0.04,27.5,0.0,145.0,1.0,0.75,0.0,0.75,1.0,36.30433970829258,6.005,39.34,-52.23,3.9075,3.52,3.42,0.0,0.0,0.0,0.0032146913387642,0.5200696235146722,8.244934551751243,444.9296190031424,7.291958523022181,6.086935529889836,6.171796301799304,0.5608927921780276,0.9988414840227984,-0.0161567770651256,-0.0252111552835909,-0.0240793580115337,-0.0129516484923857,4.966773372475849,4.678246765700926,0.333375974324845,4.695218918933037,5.611715213477879,0.4861253235458207,5.662631675441553,6.392434310358375,2.886835298470588,-0.0433199114326647,0.0,148.7825,2.8725,1.6,1.9525,-1.14,53.71243790185621,15.85743978836984,15.44969314452624,1123.085548797423,28.98379217353716,15.32739250139159,2293.708200782141,14.93902984378076,16.01013953917561,17.32445441912409,16.22579601451157,16.08264853747289,16.39332444503392,16.44025655895039,15.24298493968307,15.22345189638476,15.73494237936806,15.326462417908,15.72517931145533,16.73342888758942,16.63586679655858,16.64632021971391,16.42236678778226,31.21234377770158,2293.708200782141,76.92500000000001,29.425,22.375,29.7,42.0,-3276.8,22.175,23.7,-3276.8,-3276.8,-3276.8,-3276.8,-3276.8,37.9,34.125,0.0225,3.9075,3.9025,4.0775,27.5,52.0,0.0,0.5,0.25,15.0,100.0,0.975,150.0,40.0,0.0,0.1,1.5,27.5,145.0,59.26,-89.475,0.356632438758285,0.000306375
9,9,9,0.5104030000000002,2023-02-10 00:12:02.906493+00:00,0.0,0.0,1.024212517476766,37.9,0.04,0.0,10.04922352936424,0.0,1.673275806206395,0.0,7.035435215604396,30.0,100.0,0.0,52.0,52.0,70.0,150.0,40.0,0.04,30.0,0.0,145.0,1.0,1.0,0.0,1.0,1.0,36.08198954053479,7.79,39.36,-52.23,3.93,3.52,3.42,0.0,0.0,0.0,0.0031874671292501,0.7576797272834787,7.524230281333687,440.5222476305955,7.224069902073762,6.669646186695911,6.443350777698309,0.6525429663041757,0.9942009659978632,-0.0127613851949295,-0.0199294346351427,-0.0255884210379454,-0.0133600198123389,5.289244295420616,5.125180148003047,0.4012645740560572,5.006375068439432,6.245342323432252,0.5370417736347571,6.369804794656692,6.845025114130711,2.830765381025941,-0.036906393625621,0.0,155.5,3.2,1.89,2.27,-1.14,53.71243790185621,15.85743978836984,15.44969314452624,1123.085548797423,28.92646004574569,15.32739250139159,2293.708200782141,14.93902984378076,16.01013953917561,17.32445441912409,16.22579601451157,16.08264853747289,16.39332444503392,16.44025655895039,15.24298493968307,15.22345189638476,15.73494237936806,15.326462417908,15.72517931145533,16.73342888758942,16.63586679655858,16.64632021971391,16.42236678778226,31.21234377770158,2293.708200782141,76.9,29.1,22.4,29.7,42.0,-3276.8,22.2,23.7,-3276.8,-3276.8,-3276.8,-3276.8,-3276.8,37.9,34.1,0.03,3.93,3.92,4.1,30.0,52.0,0.0,0.5,0.25,15.0,100.0,1.1,150.0,40.0,0.0,0.1,1.5,30.0,145.0,59.26,-74.0,0.47550991834438,0.0004084999999999
10,10,10,0.5726600000000002,2023-02-10 00:12:02.968750+00:00,0.0,0.0,1.0335636154289,37.875,0.04,0.0,10.54810802056853,0.0,1.794499540677454,0.0,7.040345083178194,30.0,100.0,0.0,52.0,52.0,70.0,150.0,40.0,0.04,30.0,0.0,145.0,1.0,1.0,0.0,1.0,1.0,35.859639372777,15.155,39.33,-52.1575,3.93,3.5175,3.4225,0.0,0.0,0.0,0.003160242919736,0.9952898310522852,6.803526010916133,436.1148762580485,7.156181281125344,7.252356843501988,6.714905253597313,0.7441931404303239,0.989560447972928,-0.0093659933247334,-0.0146477139866944,-0.0270974840643572,-0.0137683911322921,5.611715218365383,5.572113530305167,0.4691531737872694,5.317531217945827,6.878969433386625,0.5879582237236937,7.076977913871832,7.297615917903047,2.774695463581294,-0.0304928758185774,0.0,155.4325,4.0975,2.8725,3.2325,-1.14,53.71243790185621,15.85743978836984,15.44969314452624,1123.085548797423,28.86912791795423,15.32739250139159,2293.708200782141,14.93902984378076,16.01013953917561,17.32445441912409,16.22579601451157,16.08264853747289,16.39332444503392,16.44025655895039,15.24298493968307,15.22345189638476,15.73494237936806,15.326462417908,15.72517931145533,16.73342888758942,16.63586679655858,16.64632021971391,16.42236678778226,31.21234377770158,2293.708200782141,76.85000000000001,28.625,22.45,29.7,42.0,-3276.8,22.275,23.7,-3276.8,-3276.8,-3276.8,-3276.8,-3276.8,37.875,34.1,0.03,3.9325,3.9225,4.0975,30.0,52.0,0.0,0.5,0.25,15.0,100.0,1.25,150.0,40.0,0.0,0.1,1.5,30.0,145.0,59.26,-51.075,0.47550991834438,0.0004084999999999
11,11,11,0.9984550000000001,2023-02-10 00:12:03.394545+00:00,0.0,0.0,1.042914713381035,37.85,0.04,0.0,10.61407350161686,0.0,1.946887780677298,0.0,7.012738017597688,30.0,100.0,0.0,52.0,52.0,70.0,150.0,40.0,0.04,30.0,0.0,145.0,1.0,1.0,0.0,1.0,1.0,35.6372892050192,22.52,39.3,-52.085,3.93,3.515,3.425,0.0,0.0,0.0,0.0031330187102218,1.232899934821091,6.082821740498577,431.7075048855015,7.088292660176926,7.835067500308064,6.986459729496318,0.8358433145564721,0.9849199299479928,-0.0059706014545373,-0.0093659933382461,-0.028606547090769,-0.0141767624522453,5.93418614131015,6.019046912607287,0.5370417735184816,5.628687367452223,7.512596543340997,0.6388746738126301,7.784151033086971,7.750206721675383,2.718625546136646,-0.0240793580115337,0.0,155.365,4.995,3.855,4.195,-1.14,53.71243790185621,15.85743978836984,15.44969314452624,1123.085548797423,28.81179579016276,15.32739250139159,2293.708200782141,14.93902984378076,16.01013953917561,17.32445441912409,16.22579601451157,16.08264853747289,16.39332444503392,16.44025655895039,15.24298493968307,15.22345189638476,15.73494237936806,15.326462417908,15.72517931145533,16.73342888758942,16.63586679655858,16.64632021971391,16.42236678778226,31.21234377770158,2293.708200782141,76.80000000000001,28.15,22.5,29.7,42.0,-3276.8,22.35,23.7,-3276.8,-3276.8,-3276.8,-3276.8,-3276.8,37.85,34.1,0.03,3.935,3.925,4.095,30.0,52.0,0.0,0.5,0.25,15.0,100.0,1.4,150.0,40.0,0.0,0.1,1.5,30.0,145.0,59.26,-28.15,0.47550991834438,0.0004084999999999
12,12,12,1.003893,2023-02-10 00:12:03.399983+00:00,0.0,0.0,1.052265811333169,37.825,0.04,0.0,10.68003898266518,0.0,2.099276020677142,0.0,6.985130952017183,30.0,100.0,0.0,52.0,52.0,70.0,150.0,40.0,0.04,30.0,0.0,145.0,1.0,1.0,0.0,1.0,1.0,35.96554139446492,29.885,39.27,-52.0125,3.93,3.5125,3.4275,0.0,0.0,0.0,0.0029849870719524,1.152282220334348,5.704349592424749,431.4444208969633,7.207097747607499,8.02176121703461,7.279229412689185,0.9053060662465348,0.9956511282194216,-0.0039899561758955,-0.0088000946913369,-0.0274747498209602,-0.014585133765705,6.146338073386822,6.125122878005323,0.5243126610253164,5.845082335130016,7.639887711135096,0.6940341618713592,8.034490335984609,7.830824461836496,2.703240508175738,-0.0246452566471879,0.0,155.2975,5.8925,4.8375,5.157500000000001,-1.14,53.552710778644,15.85685870637221,15.44765875802052,1123.085548797423,28.73654737297161,14.0053786961838,2293.705848023606,14.93583179986745,16.00950041990248,17.32352570748209,16.3170470083904,16.17762649205826,16.67544091186424,16.63338547006312,15.36370787369387,15.39368651600373,15.8871074098138,15.47007281347048,15.8672960754864,16.813266241832,16.72528993481695,16.71402800077049,16.46836620871498,32.63358762876598,2293.705848023606,76.75,27.675,22.55,29.7,42.0,-3276.8,22.425,23.7,-3276.8,-3276.8,-3276.8,-3276.8,-3276.8,37.825,34.1,0.03,3.9375,3.9275,4.092499999999999,30.0,52.0,0.0,0.5,0.25,15.0,100.0,1.55,150.0,40.0,0.0,0.1,1.5,30.0,145.0,59.26,-5.224999999999994,0.47550991834438,0.0004084999999999
13,13,13,1.05941,2023-02-10 00:12:03.455500+00:00,0.0,0.0,1.061616909285303,37.8,0.04,0.0,11.15172310383186,0.0,2.293794503887778,0.0,7.088984159495646,30.0,100.0,0.0,52.0,52.0,70.0,150.0,40.0,0.04,30.0,0.0,145.0,1.0,1.0,0.0,1.0,1.0,36.29379358391064,37.25,39.24,-51.94,3.93,3.51,3.43,0.0,0.0,0.0,0.0028369554336829,1.071664505847604,5.325877444350921,431.181336908425,7.325902835038072,8.208454933761157,7.571999095882052,0.9747688179365976,1.00638232649085,-0.0020093108972538,-0.0082341960444276,-0.0263429525511513,-0.0149935050791647,6.358490005463494,6.231198843403359,0.5115835485321512,6.061477302807809,7.767178878929194,0.7491936499300884,8.284829638882247,7.911442201997609,2.68785547021483,-0.0252111552828422,0.0,155.23,6.79,5.82,6.12,-1.14,53.39298365543179,15.85627762437458,15.4456243715148,1123.085548797423,28.66129895578047,12.68336489097601,2293.703495265072,14.93263375595414,16.00886130062934,17.3225969958401,16.40829800226922,16.27260444664363,16.95755737869457,16.82651438117585,15.48443080770467,15.5639211356227,16.03927244025955,15.61368320903296,16.00941283951748,16.89310359607459,16.81471307307532,16.78173578182707,16.51436562964771,34.05483147983038,2293.703495265072,76.7,27.2,22.6,29.7,42.0,-3276.8,22.5,23.7,-3276.8,-3276.8,-3276.8,-3276.8,-3276.8,37.8,34.1,0.03,3.94,3.93,4.09,30.0,52.0,0.0,0.5,0.25,15.0,100.0,1.7,150.0,40.0,0.0,0.1,1.5,30.0,145.0,59.26,17.7,0.47550991834438,0.0004084999999999
14,14,14,1.44025,2023-02-10 00:12:03.836340+00:00,0.0,0.0,1.064862790251391,38.0,0.04,0.0,11.62340722499854,0.0,2.488312987098413,0.0,7.192837366974109,30.0,100.0,0.0,52.0,52.0,70.0,150.0,40.0,0.04,30.0,0.0,145.0,1.0,1.0,0.0,1.0,1.0,36.62204577335635,37.7,39.26333333333334,-51.94,3.933333333333334,3.516666666666667,3.426666666666667,0.0,0.0,0.0,0.0026889237954135,0.9910467913608604,4.947405296277092,430.9182529198868,7.444707922468645,8.395148650487704,7.86476877907492,1.04423156962666,1.017113524762279,-2.866561861214478e-05,-0.0076682973975183,-0.0252111552813425,-0.0154018763926244,6.570641937540167,6.337274808801395,0.4988544360389859,6.277872270485602,7.894470046723292,0.8043531379888176,8.535168941779885,7.992059942158722,2.672470432253921,-0.0257770539184964,0.0,158.0566666666667,7.19,6.12,6.406666666666667,-1.14,53.23325653221959,15.85569654237695,15.44358998500908,1123.085548797423,28.58605053858932,11.36135108576823,2293.701142506538,14.92943571204083,16.00822218135621,17.3216682841981,16.49954899614805,16.36758240122899,17.2396738455249,17.01964329228859,15.60515374171547,15.73415575524167,16.19143747070529,15.75729360459544,16.15152960354855,16.97294095031717,16.90413621133369,16.84944356288366,16.56036505058043,35.47607533089477,2293.701142506538,76.63333333333334,26.56666666666666,22.73333333333333,29.7,42.03333333333333,-3276.8,22.6,23.7,-2194.9,-3276.8,-3276.8,-3276.8,-3276.8,38.0,34.1,0.0833333333333333,3.94,3.933333333333334,4.09,30.0,52.0,0.0,0.5,0.25,15.0,100.0,1.866666666666667,150.0,40.0,0.0,0.1,1.5,30.0,145.0,59.26,65.26666666666667,1.320860884289945,0.0011347222222222
15,15,15,1.4982360000000001,2023-02-10 00:12:03.894326+00:00,0.0,0.0,1.068108671217479,38.2,0.04,0.0,11.61085342779535,0.0,2.368270573809619,0.0,7.093947326180116,30.0,100.0,0.0,52.0,52.0,70.0,150.0,40.0,0.04,30.0,0.0,145.0,1.0,1.0,0.0,1.0,1.0,36.95029796280207,38.15,39.28666666666667,-51.94,3.936666666666667,3.523333333333333,3.423333333333333,0.0,0.0,0.0,0.002540892157144,0.9104290768741166,4.568933148203264,430.6551689313485,7.563513009899218,8.58184236721425,8.157538462267787,1.113694321316723,1.027844723033708,0.0019519796600295,-0.0071023987506091,-0.0240793580115337,-0.0158102477060841,6.782793869616839,6.443350774199431,0.4861253235458207,6.494267238163396,8.02176121451739,0.8595126260475467,8.785508244677523,8.072677682319835,2.657085394293013,-0.0263429525541507,0.0,160.8833333333333,7.59,6.42,6.693333333333333,-1.14,53.07352940900737,15.85511546037932,15.44155559850336,1123.085548797423,28.51080212139817,10.03933728056044,2293.698789748003,14.92623766812752,16.00758306208307,17.32073957255611,16.59079999002687,16.46256035581436,17.52179031235522,17.21277220340132,15.72587667572627,15.90439037486064,16.34360250115103,15.90090400015793,16.29364636757962,17.05277830455976,16.99355934959206,16.91715134394024,16.60636447151316,36.89731918195917,2293.698789748003,76.56666666666666,25.93333333333333,22.86666666666667,29.7,42.06666666666667,-3276.8,22.7,23.7,-1113.0,-3276.8,-3276.8,-3276.8,-3276.8,38.2,34.1,0.1366666666666666,3.94,3.936666666666667,4.09,30.0,52.0,0.0,0.5,0.25,15.0,100.0,2.033333333333333,150.0,40.0,0.0,0.1,1.5,30.0,145.0,59.26,112.8333333333333,2.166211850235509,0.0018609444444444
