,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,elapsed_sec,_time,N1,N2,PR,Turbine_Exit,Power,ACC_NI_CH1_FFT,ACC_NI_CH1_RMS,ACC_NI_CH2_FFT,ACC_NI_CH2_RMS,ACC_NI_CH3_FFT,ACC_NI_CH3_RMS,CV_PLC_Control_Call,CV_PLC_Control_Mode,CV_PLC_Diag,CV_PLC_Fuel_Call,CV_PLC_Fuel_Signal_AO,CV_PLC_Fuel_Temp_Set,CV_PLC_N1_Max,CV_PLC_N2_Max,CV_PLC_Passive_kW,CV_PLC_Stage,CV_PLC_Target_N2,CV_PLC_Volt_Max,DO_PLC_Air_Valve,DO_PLC_Fuel_Enable,DO_PLC_Fuel_Heater,DO_PLC_Igniter,DO_PLC_System_Enable,D_NI_Displacement_Probe_1,FP_NI_Generator_Cooling_Inlet_1,FP_NI_Oil_Sump_Cooling_Inlet_1,FP_PLC_Fuel_1,FP_PLC_Oil_Inlet_1,F_PLC_Axial_Force_1,I_PLC_Phase_1,I_PLC_Phase_2,I_PLC_Phase_3,N_PLC_N1,N_PLC_N2,N_PLC_spare,P_NI_Bellmouth_2,P_NI_Combustor_Can_1,P_NI_Impeller_Exit_1,P_NI_Impeller_Exit_2,P_NI_Impeller_Exit_3,P_NI_Impeller_Exit_4,P_NI_Inlet_Mass_Flow_2,P_NI_Inlet_Mass_Flow_3,P_NI_LP_Inlet_1,P_NI_LP_Inlet_2,P_NI_LP_Outlet_1,P_NI_LP_Outlet_2,P_NI_Lab_Seal_Downstream_1,P_NI_Lab_Seal_Downstream_2,P_NI_Lab_Seal_Downstream_3,P_NI_Lab_Seal_Downstream_4,P_NI_Lab_Seal_Upstream_1,P_NI_Lab_Seal_Upstream_2,P_NI_Lab_Seal_Upstream_3,P_NI_Lab_Seal_Upstream_4,P_NI_Turbine_Diffuser_Exit_2,P_PLC_Bellmouth_1,P_PLC_Inlet_MF,P_PLC_PT_Exit_1,P_PLC_PT_Exit_2,P_PLC_PT_Exit_3,P_PLC_Turbine_Diffuser_Exit_1,T_NI_Bellmouth_3,T_NI_Bellmouth_4,T_NI_Generator_Cooling_Inlet_1,T_NI_Generator_Cooling_Outlet_1,T_NI_Generator_Stator_1,T_NI_Generator_Stator_2,T_NI_Inlet_2,T_NI_LP_Inlet_1,T_NI_LP_Inlet_2,T_NI_LP_Outlet_2,T_NI_N2_Front_Bearing_21,T_NI_Oil_Sump_Cooling_Inlet_1,T_NI_Oil_Sump_Cooling_Outlet_1,T_NI_PT_Exit_1,T_NI_PT_Exit_2,T_NI_PT_Exit_3,T_NI_PT_Exit_4,T_NI_PT_Outlet_Duct_3,T_NI_PT_Outlet_Duct_4,T_NI_PT_Outlet_Duct_5,T_NI_PT_Outlet_Duct_6,T_NI_PT_Outlet_Duct_7,T_NI_Recuperator_HP_Outlet_3,T_NI_Recuperator_HP_Outlet_4,T_NI_Seal_Bypass_1,T_NI_Seal_Bypass_2,T_NI_Seal_Bypass_3,T_NI_Seal_Bypass_4,T_NI_Turbine_Exit_1,T_NI_Turbine_Exit_2,T_PI_Engine_Frame_1,T_PI_Engine_Frame_2,T_PLC_15,T_PLC_16,T_PLC_Bellmouth_1,T_PLC_Bellmouth_2,T_PLC_Fuel_Inlet_1,T_PLC_Inlet_1,T_PLC_LP_Outlet_1,T_PLC_N2_Front_Bearing_1,T_PLC_Oil_Inlet_1,T_PLC_Oil_Outlet_1,T_PLC_PT_Outlet_Duct_1,T_PLC_PT_Outlet_Duct_2,T_PLC_Recuperator_HP_Outlet_1,T_PLC_Recuperator_HP_Outlet_2,T_PLC_Turbine_Exit_1,T_PLC_Turbine_Exit_2,VF_PLC_Fuel,V_PLC_Phase_1,V_PLC_Phase_2,V_PLC_Phase_3,cc_call,cc_control_mode,cc_et,cc_fuel_manual,cc_fuel_setpoint,cc_lb_set,cc_ll,cc_max_dec,cc_max_inc,cc_n2_setpoint,cc_stage,cv_control_mode,cv_et,cv_n1_max,cv_n2_max,cv_pid_d,cv_pid_i,cv_pid_p,cv_stage,cv_v_max,dt_CW_inv_mc_status,dt_i_mc,dt_n_mc,dt_pwr_mc,dt_u_mc,spare_420,I_PLC,kw_4wi,kw_dt,P_Impeller,P_BM,MF_Impeller,MF_Bellmouth,N1_krpm,P_PT_Exit,speed_ratio,P_Comb,T_Inlet,T_PT_exit,comp_eff_pt,T_PT_Duct,T_PT_Exit,T_Bypass,leakage,leakage_smooth,fuel_kgs,fuel_gph,fuel_energy,fuel_eff,T_LP_Inlet,T_HP_Outlet,recuperator_eff,T_HP_Inlet,T_LP_Outlet,P_LP_Inlet,P_LP_Outlet
100,426,426,426,11.184827000000006,2023-04-05 22:00:31.649495+00:00,0.0,7.02,1.5608026975902625,462.9500000000001,1.14,43.2,60.01065305926666,70.8,4.411709779067069,0.0,12.69020101376861,40.0,100.0,0.0,52.0,52.0,70.0,120.0,40.0,1.14,40.0,0.0,145.0,0.0,1.0,1.0,1.0,1.0,32.02362007343544,2.390411447782076,2.308357886001621,66.465,39.035,-79.78999999999999,7.83,8.078,7.917,0.0,7.02,0.0,0.0029696734628763,51.65722586333229,51.82355340836924,50.73733273060535,48.90094108609551,51.68438137962949,0.6417537524967456,0.8625262857838062,-0.0433199114206875,0.0585418469571063,-0.3599967219980932,-0.4109086229004928,46.23291218559054,0.7373131452388393,51.02246566011308,47.31573810603414,52.72986885938904,53.51737894233012,53.09986282459673,53.10325725321688,-0.3516214220161139,0.015,0.45,58.095,55.645,56.73,-1.12,2293.709365960128,2293.709365960128,28.72828869665717,28.86159343411833,37.42021590207187,36.16464198066041,14.1285449981739,317.9249542437296,312.500040553199,98.8298075868638,44.08653576806683,30.43813631640349,28.24291754022446,56.3053635174657,56.33970917905456,57.55551895140579,57.61159803174797,47.82229301864349,49.37753605912848,51.60251310420424,50.64890939750338,49.23168390638955,176.7377703916505,190.5602272496915,45.85573986377418,2293.709365960128,39.89292576312967,30.91499447523569,337.7662519507067,325.7643888349753,90.75,85.168,-3276.8,-3276.8,-3276.8,-66.9,59.2,22.6,92.7,45.2,29.9,38.1,42.6,43.7,209.1,196.25,462.9500000000001,453.7,0.25,32.19,31.755,32.21,40.0,50.0,231.0,52.0,0.0,0.0,2.0,0.5,0.5,18.0,30.0,100.0,14.1,120.0,40.0,0.0,0.1,2.0,40.0,145.0,10.0,0.0,7530.0,0.0,62.86666666666666,59.26,0.023825,2.859,-0.0,0.7521400191402758,0.00898483673143815,0.11990365344916488,0.05300913136515612,54.09140968660979,56.82333333333333,0.16249999999999998,0.9673337849276458,18.36427249908695,56.953047419918505,102.47078522632111,47.60089990445678,56.953047419918505,38.88788670071318,51.768969348384076,51.803836299510024,0.0034041666666666665,3.9625826528698345,146.37916666666666,1.9531467934303037,315.2124973984643,193.1619994103355,54.392672391239785,56.953047419918505,95.7649037934319,0.007610967768209399,-0.385452672449293
101,427,427,427,11.287805000000006,2023-04-05 22:00:31.752473+00:00,0.0,7.529999999999999,1.5655070318282753,465.775,1.205,57.6,60.04329999923466,72.0,4.449601263859322,0.0,12.93908779242907,40.0,100.0,0.0,52.0,52.0,70.0,120.0,40.0,1.205,40.0,0.0,145.0,0.0,1.0,1.0,1.0,1.0,32.04576715573356,2.090916087050921,2.410924801035377,66.5375,39.0375,-79.825,8.139999999999999,8.388,8.224499999999999,0.0,7.529999999999999,0.0,0.0034597092392313,51.77603125453854,51.87107556504094,50.85274367492089,49.23359612755067,51.7454812948632,0.6385053923084422,0.849184800735131,-0.0455835059063694,0.0540146574626522,-0.3824062984544308,-0.4499078984796557,46.39245079736307,0.6490579649163933,51.3042041518971,47.52279887302438,53.02179070400139,53.69728427272613,53.45627904151036,53.31031809993596,-0.3962142143187439,0.0175,0.485,58.6275,56.1125,57.16,-1.12,2293.708738556817,2293.708738556817,28.7298976446796,28.86297235898728,36.78382913747133,35.94964645618239,14.36901726253359,320.400515409645,314.5002928556233,99.02228792948284,44.08821323603892,30.47439201075565,28.24080194157488,57.2904617675672,57.02489414575577,58.51074163728104,58.39877939392113,48.49635245958268,50.1046763565021,52.15459267570338,51.38473117787019,49.9010769301919,176.8916983598009,190.6697011837509,46.96147606575064,2293.708738556817,40.97167994987007,31.37280361910884,339.9031009554856,328.1815289421306,90.746,85.1546,-3276.8,-3276.8,-3276.8,-80.30000000000001,59.2,22.55,92.8,45.2,29.9,38.1,43.2,44.3,209.15,196.375,465.775,456.1,0.25,33.15,32.7025,33.16,40.0,50.0,231.0,52.0,0.0,0.0,2.0,0.5,0.5,18.0,30.0,100.0,14.25,120.0,40.0,0.0,0.1,2.0,40.0,145.0,10.0,0.0,7746.666666666666,0.0,64.84444444444443,59.26,0.024752499999999997,2.9702999999999995,-0.0,0.7438450965217867,0.01047985461961565,0.11919603987976768,0.05722530252760478,54.720378347578425,57.29999999999999,0.13072916666666665,0.9651759259545378,18.459508631266797,57.806219236131284,101.25374253883932,48.23945887389136,57.806219236131284,39.76865321157651,53.037978345950734,54.38141292831689,0.0034041666666666665,3.9625826528698345,146.37916666666666,2.029182203751672,317.45040413263416,193.27159988588795,53.87304772196538,57.806219236131284,95.91114396474143,0.004215575778141401,-0.41615709846704324
102,428,428,428,11.546000000000006,2023-04-05 22:00:32.010668+00:00,0.0,8.04,1.5702113660662882,468.6,1.27,46.08,59.92536460543185,85.6,4.808505131828374,0.0,12.85223737626813,40.0,100.0,0.0,52.0,52.0,70.0,120.0,40.0,1.27,40.0,0.0,145.0,0.0,1.0,1.0,1.0,1.0,32.0679142380317,1.791420726319766,2.513491716069134,66.61,39.04,-79.86,8.45,8.698,8.532,0.0,8.04,0.0,0.0039497450155864,51.89483664574477,51.91859772171264,50.96815461923642,49.56625116900582,51.80658121009692,0.6352570321201386,0.835843315686456,-0.0478471003920514,0.0494874679681981,-0.4048158749107685,-0.4889071740588185,46.5519894091356,0.5608027845939475,51.58594264368113,47.72985964001462,53.31371254861375,53.87718960312214,53.81269525842399,53.51737894665503,-0.4408070066213739,0.02,0.52,59.16,56.58,57.59,-1.12,2293.708111153505,2293.708111153505,28.73150659270203,28.86435128385624,36.1474423728708,35.73465093170438,14.60948952689328,322.8760765755604,316.5005451580477,99.21476827210188,44.08989070401101,30.5106477051078,28.23868634292529,58.2755600176687,57.71007911245698,59.46596432315628,59.18596075609428,49.17041190052189,50.83181665387573,52.70667224720253,52.120552958237,50.57046995399424,177.0456263279513,190.7791751178104,48.0672122677271,2293.708111153505,42.05043413661048,31.83061276298198,342.0399499602646,330.5986690492859,90.742,85.1412,-3276.8,-3276.8,-3276.8,-93.7,59.2,22.5,92.9,45.2,29.9,38.1,43.8,44.9,209.2,196.5,468.6,458.5,0.25,34.11,33.65,34.11,40.0,50.0,231.0,52.0,0.0,0.0,2.0,0.5,0.5,18.0,30.0,100.0,14.4,120.0,40.0,0.0,0.1,2.0,40.0,145.0,10.0,0.0,7963.333333333333,0.0,66.82222222222222,59.26,0.02568,3.0816000000000003,-0.0,0.7355501739032972,0.0119748725077932,0.11848527554085829,0.06114499935422656,55.981506552706605,57.776666666666664,0.17447916666666666,0.9630309968201346,18.55474476344664,58.65939105234406,100.08164193440336,48.87801784332594,58.65939105234406,40.64941972243985,54.310876068841274,56.466162911102906,0.0034041666666666665,3.9625826528698345,146.37916666666666,2.1052176140730414,319.68831086680404,193.38120036144042,53.359560637374535,58.65939105234406,96.05738413605094,0.0008201837880733483,-0.4468615244847935
110,436,436,436,12.217757000000006,2023-04-05 22:00:32.682425+00:00,0.0,8.66,1.5881185404501463,481.7333333333333,1.606666666666667,46.66666666666666,57.12481896037405,92.8,4.963116113577169,0.0,12.11066388332699,40.0,100.0,0.0,52.33333333333334,52.33333333333334,70.0,120.0,40.0,1.606666666666667,40.0,0.0,145.0,0.0,1.0,1.0,1.0,1.0,32.40354802840236,5.478702277857042,2.72990790739236,67.83333333333333,39.23,-80.10666666666667,9.92,10.12466666666667,10.012,0.0,8.66,0.0,0.009503484147179,57.13924703097877,54.02060472979529,52.17487794065774,52.03910035089302,51.19473347333179,0.3920941366013356,1.105718429313972,-0.0716148417088202,0.0144017501339965,-0.6018616713570824,-0.5796672397985478,49.30657657088799,0.6219025237313005,53.69388983345763,49.68845096564792,55.12804087598265,55.39535306309443,55.03469375686787,55.40808221570593,-0.4612359420622218,0.02,0.61,60.99666666666666,58.32666666666667,59.45,-1.13,2293.706184129501,2293.706184129501,28.73075958629141,28.86452365368111,35.89589757112306,35.41215764358979,15.3194224856049,336.3990885530019,327.3648384077983,100.3433120835208,44.07403396491187,30.71031971181918,28.23686969595008,61.75031327614983,60.80763522478713,63.41510525561861,62.94202309935856,52.01439455289902,53.37442856761734,54.75342199652601,54.96281998998287,53.05036557795496,178.0067631660869,191.4324048076283,52.90229619076389,2293.706184129501,46.87236597020529,34.11205849871976,353.8708750781911,343.2911231456135,90.713,85.06,-3276.8,-3276.8,-3276.8,-1232.6,59.3,22.1,93.4,45.06666666666667,29.83333333333333,38.03333333333333,46.73333333333333,47.7,209.5,197.5333333333333,481.7333333333333,469.9,0.25,38.77,38.32666666666667,38.77333333333333,40.0,50.0,231.0,52.33333333333334,0.0,0.0,2.0,0.5,0.5,18.0,30.0,100.0,15.1,120.0,40.0,0.0,0.1,2.0,40.0,145.0,10.0,0.0,9510.0,0.0,80.42,59.26,0.030056666666666672,3.6068000000000007,-0.0,0.7489062829576537,0.0147517420735895,0.11940045811775638,0.06778064673773786,57.7893853856289,59.591111111111104,0.1855714285714286,0.9847630913821965,18.70971124280245,62.22876921397853,94.7542881091543,51.53572257511603,62.22876921397853,44.62890688656298,60.75642206703964,58.098732151640256,0.0034041666666666665,3.9625826528698345,146.37916666666666,2.4640118413936416,331.8819634804001,194.11812532676214,50.85939525753015,62.22876921397853,96.8716560417604,-0.028606545787411848,-0.5907644555778151
111,437,437,437,12.55706,2023-04-05 22:00:33.021728+00:00,0.0,8.969999999999999,1.5901636647750637,483.25,1.65,93.33333333333331,58.22109804858266,113.6,5.209957193365568,0.0,12.16977143638913,40.0,100.0,0.0,52.5,52.5,70.0,120.0,40.0,1.65,40.0,0.0,145.0,0.0,1.0,1.0,1.0,1.0,32.41277598102116,6.021281543728208,2.730933576598364,68.365,39.215,-80.155,10.09,10.293,10.182,0.0,8.969999999999999,0.0,0.0100547744543877,57.59749654841692,54.59341649974434,51.7930034503832,52.45491921421755,50.80861595848793,0.3433687528945519,1.09455217975142,-0.0874600029412491,0.0155335474563749,-0.6375132633350713,-0.6128472269927734,49.79028413828595,0.6219025237313005,53.96544504242628,49.92606171033562,55.37413780857391,55.49294322879739,55.11955476849921,55.52688763475357,-0.4960386920835304,0.02,0.635,61.22,58.525,59.65,-1.13,2293.705960057041,2293.705960057041,28.72943795213958,28.86366182704344,35.9926455570108,35.34765898696645,15.39575196226898,339.2563851015387,329.6527679560989,100.5911731255811,44.06763007323076,30.75270658448821,28.23767454605806,62.25183219557587,61.38336395109638,64.09467044252256,63.66925630566456,52.51301580973194,53.7372056739488,55.06761886530108,55.41969448032029,53.43073543674031,178.2245234666985,191.5771654148612,53.77683336379185,2293.705960057041,47.76050712357662,34.56733431471692,356.3899507809806,345.9105144396191,90.7082,85.0506,-3276.8,-3276.8,-3276.8,-1743.65,59.3,22.05,93.45,45.05,29.8,38.0,47.05,48.0,209.55,197.75,483.25,471.25,0.25,39.31,38.865,39.315,40.0,50.0,231.0,52.5,0.0,0.0,2.0,0.5,0.5,18.0,30.0,100.0,15.2,120.0,40.0,0.0,0.1,2.0,40.0,145.0,10.0,0.0,9700.0,0.0,82.08,59.26,0.030565,3.6677999999999997,-0.0,0.7189604663229859,0.01502738722719385,0.1169921195484099,0.06840182813841542,60.05860592997986,59.79833333333334,0.09610714285714286,0.9863406699738311,18.72287598113449,62.849780723714844,93.7308882220929,51.91351076534894,62.849780723714844,45.36822493402847,62.558905454044286,59.31976655370112,0.0034041666666666665,3.9625826528698345,146.37916666666666,2.505684438245424,334.4545765288188,194.27542222038994,50.38627254780008,62.849780723714844,97.02058656279056,-0.0359632277424371,-0.6251802451639223
113,439,439,439,12.599143000000003,2023-04-05 22:00:33.063811+00:00,0.0,9.59,1.5942539134248976,486.2833333333334,1.736666666666667,105.0,59.76704365932508,134.4,5.84905362371728,0.0,12.3452477225608,40.0,100.0,0.0,52.83333333333334,52.83333333333334,70.0,120.0,40.0,1.736666666666667,40.0,0.0,145.0,0.0,1.0,1.0,1.0,1.0,32.47078025791397,5.058519669871386,2.521697071834782,69.42833333333333,39.185,-80.25166666666667,10.43,10.62966666666667,10.522,0.0,9.59,0.0,0.0110416522196886,57.58618174481155,54.10122266901927,52.2116510358851,52.40400261612776,50.81993075688614,0.3688915699638334,0.9559167348087776,-0.066710387055363,0.0053473717105614,-0.5873369484766672,-0.5602356717112983,50.15801507439681,0.5483565404373962,54.08990785270658,50.09012627997894,55.52123023524227,55.5834616454197,55.31190640090689,55.70792447011237,-0.4549167439180947,0.02,0.6849999999999999,61.66666666666666,58.92166666666667,60.05,-1.13,2293.705960057041,2293.705960057041,28.72943795213958,28.86366182704344,36.23630715526181,35.08966436453382,15.39575196226898,339.2563851015387,329.6527679560989,100.5911731255811,44.06763007323076,30.75270658448821,28.23767454605806,62.25183219557587,61.38336395109638,64.09467044252256,63.66925630566456,52.51301580973194,53.7372056739488,55.06761886530108,55.41969448032029,53.43073543674031,178.2245234666985,191.5771654148612,53.77683336379185,2293.705960057041,47.76050712357662,34.56733431471692,356.3899507809806,345.9105144396191,90.6986,85.0318,-3276.8,-3276.8,-3276.8,-2765.75,59.3,21.95,93.55,45.01666666666667,29.73333333333333,37.93333333333333,47.68333333333334,48.6,209.65,198.1833333333333,486.2833333333334,473.95,0.25,40.39,39.94166666666666,40.39833333333333,40.0,50.0,231.0,52.83333333333334,0.0,0.0,2.0,0.5,0.5,18.0,30.0,100.0,15.4,120.0,40.0,0.0,0.1,2.0,40.0,145.0,10.0,0.0,10080.0,0.0,85.4,59.26,0.03158166666666667,3.7898,-0.0,0.6624041523863055,0.0155208261098443,0.11233017726751839,0.0695155964994978,62.70375926939406,60.212777777777774,0.09133333333333334,0.9837400509707425,18.67287598113449,62.849780723714844,94.16252190207038,52.119066320904494,62.849780723714844,45.36822493402847,61.383062994548624,60.1699120210577,0.0034041666666666665,3.9625826528698345,146.37916666666666,2.589029631948991,334.4545765288188,194.40875555372327,50.39737620253132,62.849780723714844,97.07058656279054,-0.030681507672400802,-0.5737863100939827
114,440,440,440,12.646125000000003,2023-04-05 22:00:33.110793+00:00,0.0,9.9,1.596299037749815,487.8,1.78,70.0,60.2167101818589,134.4,6.241308974280592,0.0,12.46161645567032,40.0,100.0,0.0,53.0,53.0,70.0,120.0,40.0,1.78,40.0,0.0,145.0,0.0,1.0,1.0,1.0,1.0,32.49978239636038,4.577138732942975,2.417078819452991,69.96,39.17,-80.3,10.6,10.798,10.692,0.0,9.9,0.0,0.0115350911023391,57.58052434300888,53.85512575365673,52.42097482863606,52.37854431708286,50.82558815608525,0.3816529784984741,0.8865990123374565,-0.05633557911242,0.0002542838376546,-0.5622487910474652,-0.5339298940705608,50.34188054245224,0.5115835487904441,54.15213925784673,50.1721585648006,55.59477644857645,55.62872085373085,55.40808221711073,55.79844288779178,-0.4343557698353768,0.02,0.71,61.89,59.12,60.25,-1.13,2293.705960057041,2293.705960057041,28.72943795213958,28.86366182704344,36.3581379543873,34.96066705331751,15.39575196226898,339.2563851015387,329.6527679560989,100.5911731255811,44.06763007323076,30.75270658448821,28.23767454605806,62.25183219557587,61.38336395109638,64.09467044252256,63.66925630566456,52.51301580973194,53.7372056739488,55.06761886530108,55.41969448032029,53.43073543674031,178.2245234666985,191.5771654148612,53.77683336379185,2293.705960057041,47.76050712357662,34.56733431471692,356.3899507809806,345.9105144396191,90.6938,85.0224,-3276.8,-3276.8,-3276.8,-3276.8,59.3,21.9,93.6,45.0,29.7,37.9,48.0,48.9,209.7,198.4,487.8,475.3,0.25,40.93,40.48,40.94,40.0,50.0,231.0,53.0,0.0,0.0,2.0,0.5,0.5,18.0,30.0,100.0,15.5,120.0,40.0,0.0,0.1,2.0,40.0,145.0,10.0,0.0,10258.33333333333,0.0,86.92222222222223,59.26,0.03209,3.8508,-0.0,0.6341259954179653,0.01576754555116955,0.1099228749989784,0.07006583751996351,65.63943648750606,60.419999999999995,0.14142857142857143,0.9824447392068311,18.64787598113449,62.849780723714844,94.37752119752577,52.221844098682276,62.849780723714844,45.36822493402847,60.79514176480076,60.68981445748217,0.0034041666666666665,3.9625826528698345,146.37916666666666,2.630702228800774,334.4545765288188,194.47542222038993,50.402934095151736,62.849780723714844,97.09558656279054,-0.0280406476373827,-0.548089342559013
128,454,454,454,14.294883000000006,2023-04-05 22:00:34.759551+00:00,0.0,11.58,1.595805576116457,510.7,2.45,54.0,62.04074798822417,134.4,7.463578150933818,0.0,12.30238922555162,40.0,100.0,0.0,53.0,53.0,70.0,120.0,40.0,2.45,40.0,0.0,145.0,0.0,1.0,1.0,1.0,1.0,32.4088211735333,4.940225897599912,2.468362266850812,69.84,39.18,-80.44,12.96,13.158,13.041999999999998,0.0,11.58,0.0,0.032769983708071,55.41656836910441,52.49734971739115,54.44066668997059,50.37582492677236,52.12396132916322,1.057137996303399,1.021754042690029,-0.045583505624914,-0.0269088500191205,-0.604691161687311,-0.5097340501779641,50.11275587413797,0.4861253236039218,53.69388982630688,49.96849220511941,55.28927679535408,55.62872085389919,54.94983274433935,56.07848424277024,-0.6573196934728323,0.07,2.15,62.19,58.9,60.02,-1.12,2293.705063769115,2293.705063769115,28.73851698605218,28.86963714315694,35.19716212499517,37.08912276207562,17.44967757076903,355.9171862350337,342.9990648026672,101.8621667459881,44.06445641025193,30.9927536247936,28.24158380183636,63.96184666451325,64.44048126386996,66.77762002829277,67.54561850264535,53.65576908545927,56.03953425723483,57.26461510956283,57.50062064401688,55.70267389922844,179.7253082543641,192.573832961551,55.06945651871875,2293.705063769115,51.2329984612677,36.14097943481153,371.269949032171,360.6860739223065,90.6205,84.92150000000001,-3276.8,-3276.8,-3276.8,-3276.8,59.5,20.7,95.0,45.0,29.7,37.7,53.5,53.1,210.3,200.4,510.7,496.3,0.24,48.58,48.1,48.58,40.0,50.0,231.0,53.0,0.0,0.0,2.0,0.5,0.5,18.0,30.0,100.0,17.1,120.0,40.0,0.0,0.1,2.0,40.0,145.0,10.0,0.0,12645.0,0.0,106.0333333333333,59.26,0.03915999999999999,4.699199999999999,-0.0,1.039446019496714,0.0513849918540355,0.13993361850873362,0.12601446000125302,68.78022866795041,60.370000000000005,0.21444444444444444,0.9693655856340915,19.074838785384514,65.68139161483033,89.5758143816899,55.12061312304457,65.68139161483033,47.48114480493266,58.025468566956974,60.92011976674672,0.0032679999999999996,3.8040793467550404,140.52399999999997,3.3440551080242518,349.45812551885047,195.7497853039788,47.778202321634524,65.68139161483033,98.43108337299405,-0.03624617782201725,-0.5572126059326376
129,455,455,455,14.333518000000003,2023-04-05 22:00:34.798186+00:00,0.0,11.8,1.5959700633275764,511.8166666666667,2.478333333333333,72.0,62.22919707317631,134.4,7.276615400325308,0.0,12.27163371891668,40.0,100.0,0.0,53.0,53.0,70.0,120.0,40.0,2.478333333333333,40.0,0.0,145.0,0.0,1.0,1.0,1.0,1.0,32.24337716452614,5.813070806378455,2.456054237032387,69.84,39.13333333333333,-80.46333333333334,13.055,13.252999999999998,13.137,0.0,11.8,0.0,0.0342860329449637,54.79283991358793,52.3148985727742,54.22002806740418,50.42249846876765,52.18760707568532,1.056412915258639,1.021318994096886,-0.0569014780683825,-0.0045558539544812,-0.5673418764569724,-0.5049357118884154,50.15518636611966,0.4606670986466419,53.74480642892559,50.12548502395059,55.35716560623827,55.70509576792429,54.97529104782871,56.04878288639641,-0.5970515321864083,0.07,2.15,62.19666666666667,58.925,60.03833333333333,-1.12,2293.706632275628,2293.706632275628,28.73754013197261,28.86756876754664,35.4014078692275,36.75587968642212,17.14195654466941,358.6714035108681,345.1858413875287,102.0408103257349,44.06128275942569,31.03283387471575,28.24284855970203,64.43969929418243,65.05003850865148,67.0754364666272,68.37471654103271,53.83888923627652,56.38285936651314,57.73088144285276,57.91177949439626,56.14350438142132,179.9878397714681,192.7447932096518,56.11416046364902,2293.706632275628,52.33547014989886,36.31268352662596,373.7217475051061,363.1333238841645,90.616,84.917,-3276.8,-3276.8,-3276.8,-3276.8,59.51666666666667,20.61666666666667,95.05,45.0,29.7,37.68333333333334,53.66666666666666,53.43333333333334,210.3666666666667,200.5166666666667,511.8166666666667,497.3666666666667,0.235,48.88666666666666,48.40333333333334,48.88166666666667,40.0,50.0,231.0,53.0,0.0,0.0,2.0,0.5,0.5,18.0,30.0,100.0,17.2,120.0,40.0,0.0,0.1,2.0,40.0,145.0,10.0,0.0,12805.0,0.0,107.1888888888889,59.26,0.039445,4.7334000000000005,-0.0,1.0388659546777625,0.05214301647248185,0.139969129246481,0.12700728541968326,72.04072689436168,60.38666666666666,0.1638888888888889,0.9654086382981311,18.87931160566804,66.23497270262345,88.12060304425384,55.45417575915781,66.23497270262345,48.25410471339128,59.95704406440061,60.90147385262354,0.003199916666666666,3.724827693697644,137.59641666666664,3.4400605151418073,351.92862244919843,195.90399157861333,47.37332926580806,66.23497270262345,98.54540516286744,-0.03072866601143185,-0.5361387941726938
130,456,456,456,14.557449000000004,2023-04-05 22:00:35.022117+00:00,0.0,12.02,1.5961345505386957,512.9333333333333,2.506666666666667,48.0,61.63091431401227,134.4,7.124422882409293,0.0,12.32546985666054,40.0,100.0,0.0,53.0,53.0,70.0,120.0,40.0,2.506666666666667,40.0,0.0,145.0,0.0,1.0,1.0,1.0,1.0,32.07793315551898,6.685915715156998,2.443746207213962,69.84,39.08666666666667,-80.48666666666666,13.149999999999999,13.348,13.232,0.0,12.02,0.0,0.0358020821818564,54.16911145807145,52.13244742815726,53.99938944483777,50.46917201076294,52.25125282220743,1.055687834213879,1.020883945503744,-0.0682194505118509,0.0177971421101581,-0.5299925912266339,-0.5001373735988666,50.19761685810135,0.435208873689362,53.79572303154429,50.28247784278178,55.42505441712245,55.78147068194939,55.00074935131806,56.01908153002257,-0.5367833708999843,0.07,2.15,62.20333333333333,58.95,60.05666666666667,-1.12,2293.708200782141,2293.708200782141,28.73656327789305,28.86550039193633,35.60565361345982,36.42263661076862,16.83423551856978,361.4256207867026,347.3726179723902,102.2194539054817,44.05810910859946,31.0729141246379,28.2441133175677,64.91755192385162,65.65959575343301,67.3732529049616,69.20381457942005,54.02200938709377,56.72618447579145,58.19714777614269,58.32293834477564,56.5843348636142,180.2503712885721,192.9157534577526,57.1588644085793,2293.708200782141,53.43794183853002,36.4843876184404,376.1735459780412,365.5805738460223,90.6115,84.9125,-3276.8,-3276.8,-3276.8,-3276.8,59.53333333333333,20.53333333333333,95.1,45.0,29.7,37.66666666666667,53.83333333333334,53.76666666666667,210.4333333333333,200.6333333333333,512.9333333333333,498.4333333333333,0.2299999999999999,49.19333333333334,48.70666666666667,49.18333333333333,40.0,50.0,231.0,53.0,0.0,0.0,2.0,0.5,0.5,18.0,30.0,100.0,17.3,120.0,40.0,0.0,0.1,2.0,40.0,145.0,10.0,0.0,12965.0,0.0,108.3444444444444,59.26,0.039729999999999994,4.767599999999999,-0.0,1.0382858898588114,0.052901041090928205,0.1400047058290089,0.12799447780033738,75.33552225037445,60.403333333333336,0.2504166666666667,0.9614525065165128,18.683784425951558,66.78855379041657,86.71068520433094,55.78773839527105,66.78855379041657,49.02706462184991,61.936334790070305,60.674522618884815,0.003131833333333332,3.645576040640246,134.66883333333328,3.5402400703949075,354.3991193795464,196.0581978532478,46.97425094637076,66.78855379041657,98.65972695274084,-0.025211154200846398,-0.5150649824127502
