English,Thai,Unit,Category
woman,puu-ying,3,Family
I am,chan bpen,3,Family
man,puu-chaai,3,Family
you are,kun-bpen,3,Family
girl,dek-puu-ying,3,Family
she,tee,3,Family
boy,puu-chaai,3,Family
he,kao,3,Family
I,chan,3,Family
from,Jaak,3,Family
english,ang-grit,5,Activity
speak,puut,5,Activity
sleep,noon,5,Activity
shop,suu-kong,5,Activity
go,bpai,5,Activity
watch movie,duu-nang,5,Activity
run,wing,5,Activity
book,nang-suu,5,Activity
food,aa-han,5,Activity
coffee,gaa-fee,5,Activity
hot,roon,5,Activity
newspaper,nang-suu-pim,5,Activity
to have,mii,5,Activity
to learn,riian,5,Activity
to eat,taan,5,Activity
to read,aan,5,Activity
to drink,duum,5,Activity
to buy,suu,5,Activity
rice,kaao,9,Eating
soup,sup,9,Eating
bread,ka-nom-bpang,9,Eating
magazine,nit-dta-ya-saan,9,Eating
water,nam,9,Eating
cost,raa-kaa,9,Eating
apple,eep-peen,9,Eating
a glass,geeo,9,Eating
family,kroop-kruua,3,Family
father,poo,3,Family
mother,mee,3,Family
son,luk-chaai,3,Family
daughter,luuk-saao,3,Family
older sister,pi-saao,3,Family
older brother,pii-chaai,3,Family
younger sister,nong-saao,3,Family
to live,aa-sai,4,Numbers
floor,chan,4,Numbers
house number,baan-lek-tii,4,Numbers
to weigh,nak,4,Numbers
kilogram,gi-loo-gram,4,Numbers
tall,suung,4,Numbers
centimeter,sen-dti-met,4,Numbers
student,nak-riian,4,Numbers
thousand,nung-pan,4,Numbers
ten thousand,nung-muun,4,Numbers
hundred thousand,nung-seen,4,Numbers
a million,nung-laan,4,Numbers
song,pleeng,5,Activity
listen,fang,5,Activity
sing,roong,5,Activity
dance,dten,5,Activity
draw,waat,5,Activity
to like,choop,5,Activity
and,le,5,Activity
music,don-dtrii,5,Activity
want,dtoong-gaan,5,Activity
yoga,yoo-ka,5,Activity
play,len,5,Activity
basketball,bat-sa-get-boon,5,Activity
swimming,waai-nam,5,Activity
favorite,bproot,5,Activity
sport,gii-laa,5,Activity
soccer,fut-bon,5,Activity
roomate,puuan-ruuam-hong,5,Activity
parents,poo-mee,5,Activity
classmate,puuan-ruuam-chan,5,Activity
friends,puuan,5,Activity
tv,tii-wii,5,Activity
breakfast,aa-haan chao,9,Eating
lunch,aa-haan-glang-wan,9,Eating
dinner,aa-haan-yen,9,Eating
fried egg,kai-daao,9,Eating
sausage,sai-grook,9,Eating
fried rice,kao-pat,9,Eating
seafood,aa-haan-ta-lee,9,Eating
meat,nuua-sat,9,Eating
pork,nuua-muu,9,Eating
chicken,nuua-gai,9,Eating
fish,bplaa,9,Eating
tofu,dtao-huu,9,Eating
sweet,waan,9,Eating
salty,kem,9,Eating
sour,briiao,9,Eating
bitter,kom,9,Eating
spicy,pet,9,Eating
delicious,a-rooi,9,Eating
to put,sai,9,Eating
sugar,nam-dtaan,9,Eating
salt,gluua,9,Eating
pepper,prik-tai,9,Eating
sauce,soot,9,Eating
to think,kit,9,Eating
vegetables,pak,9,Eating
carrot,kee-root,9,Eating
potato,man-fa-rang,9,Eating
tomato,ma-kuua-tet,9,Eating
mushroom,het,9,Eating
can,dai,9,Eating
I can do it,chan tam dai,9,Eating
chili,prik,9,Eating
garlics,gra-tiiam,9,Eating
mint,sa-ra-nee,9,Eating
coriander,paak-chii,9,Eating
fruit,pon-la-mai,9,Eating
peach,luuk-piit,9,Eating
pear,luuk-pee,9,Eating
strawberry,sa-dtroo-bee-ri,9,Eating
watermelon,dteeng-moo,9,Eating
orange,som,9,Eating
frozen,chee-keeng,9,Eating
fresh,sot,9,Eating
dry,ob-heeng,9,Eating
box,gloong,9,Eating
can,gra-bpoong,9,Eating
fruit juice,nam-pon-la-mai,9,Eating
soda,nam-at-lom,9,Eating
small,lek,9,Eating
to take,ao,9,Eating
pot,ga,9,Eating
hot,roon,9,Eating
cold,yen,9,Eating
smoothie,bpan,9,Eating
ice,nam-keng,9,Eating
big,yai,9,Eating
medium,glaang,9,Eating
beer,biia,9,Eating
red wine,wai-deeng,9,Eating
white wine,wai-kaao,9,Eating
alcohol,eel-goo-hoo,9,Eating
bottle,kuat,9,Eating
without,bpraat-sa-jaak,9,Eating
little,nooi,9,Eating
very,maak,9,Eating
lemon tea,chaa ma-naao,9,Eating
green tea,chaa-kiiao,9,Eating
milk,nom,9,Eating
to come in,kao,9,Eating
to sit,nang,9,Eating
order,sang,9,Eating
to wait,roo,9,Eating
a meal,muu-aa-haan,9,Eating
menu,mee-nuu,9,Eating
hungry,hio,9,Eating
full,im,9,Eating
