Word,Defintion,11
puu-ying,woman,
chan bpen,I am,
puu-chaai,man,
kun-bpen,you are,
dek-puu-ying,girl,
tee,she,
puu-chaai,boy,
kao,he,
chan,I,
Jaak,from,
ang-grit,english,
puut,speak,
noon,sleep,
suu-kong,shop,
bpai,go,
duu-nang,watch movie,
wing,run,
nang-suu,book,
aa-han,food,
gaa-fee,coffee,
roon,hot,
nang-suu-pim,newspaper,
mii,to have,
riian,to learn,
taan,to eat,
aan,to read,
duum,to drink,
suu,to buy,
kaao,rice,
sup,soup,
ka-nom-bpang,bread,
nit-dta-ya-saan,magazine,
nam,water,
raa-kaa,cost,
eep-peen,apple,
geeo,a glass,
kroop-kruua,family,
poo,father,
mee,mother,
luk-chaai,son,
luuk-saao,daughter,
pi-saao,older sister,
pii-chaai,older brother,
nong-saao,younger sister,
aa-sai,to live,
chan,floor,
baan-lek-tii,house number,
nak,to weigh,
gi-loo-gram,kilogram,
suung,tall,
sen-dti-met,centimeter,
nak-riian,student,
nung-pan,thousand,
nung-muun,ten thousand,
nung-seen,hundred thousand,
nung-laan,a million,
pleeng,song,
fang,listen,
roong,sing,
dten,dance,
waat,draw,
choop,to like,
le,and,
don-dtrii,music,
dtoong-gaan,want,
yoo-ka,yoga,
len,play,
bat-sa-get-boon,basketball,
waai-nam,swimming,
bproot,favorite,
gii-laa,sport,
fut-bon,soccer,
puuan-ruuam-hong,roomate,
poo-mee,parents,
puuan-ruuam-chan,classmate,
puuan,friends,
tii-wii,tv,
aa-haan chao,breakfast,
aa-haan-glang-wan,lunch,
aa-haan-yen,dinner,
kai-daao,fried egg,
sai-grook,sausage,
kao-pat,fried rice,
aa-haan-ta-lee,seafood,
nuua-sat,meat,
nuua-muu,pork,
nuua-gai,chicken,
bplaa,fish,
dtao-huu,tofu,
waan,sweet,
kem,salty,
briiao,sour,
kom,bitter,
pet,spicy,
a-rooi,delicious,
sai,to put,
nam-dtaan,sugar,
gluua,salt,
prik-tai,pepper,
soot,sauce,
kit,to think,
pak,vegetables,
kee-root,carrot,
man-fa-rang,potato,
ma-kuua-tet,tomato,
het,mushroom,
dai,can,
chan tam dai,I can do it,
prik,chili,
gra-tiiam,garlics,
sa-ra-nee,mint,
paak-chii,coriander,
pon-la-mai,fruit,
luuk-piit,peach,
luuk-pee,pear,
sa-dtroo-bee-ri,strawberry,
dteeng-moo,watermelon,
som,orange,
chee-keeng,frozen,
sot,fresh,
ob-heeng,dry,
gloong,box,
gra-bpoong,can,
nam-pon-la-mai,fruit juice,
nam-at-lom,soda,
lek,small,
ao,to take,
ga,pot,
roon,hot,
yen,cold,
bpan,smoothie,
nam-keng,ice,
yai,big,
glaang,medium,
biia,beer,
wai-deeng,red wine,
wai-kaao,white wine,
eel-goo-hoo,alcohol,
kuat,bottle,
bpraat-sa-jaak,without,
nooi,little,
maak,very,
chaa ma-naao,lemon tea,
chaa-kiiao,green tea,
nom,milk,
kao,to come in,
nang,to sit,
sang,order,
roo,to wait,
muu-aa-haan,a meal,
mee-nuu,menu,
hio,hungry,
im,full,
pee,alergic,
mang-sa-wi-rat,vegetarian,
lot-kwaam-uaan,be on a diet,
peem,more,
kong-taan-len,a snack,
kong-waan,dessert,
kruuang-duum,beverage,
ai-sa-kriim,ice cream,
jaai,pay,
bat-kree-dit,credit card,
ne-nam,recommend,
ao maa-hai,to bring,
bin,a bill,
bai-set,receipt,
dtai,under,
hoong,room,
dto,table,
bon,on,
pot-ja-naa-nu-grom,dictionary,
gao-ii,chair,
ra-waang,between,
bpaak-gaa,pen,
hoong-riian,classroom,
kruu,teacher,
kaang-nook,outside,
kaang-nai,inside,
tii,at,
roong-riian,school,
roong-aa-haan,canteen,
tii-nii,here,
tii-nan,there,
raan-nang-suu,book store,
suuan-saa-taa-ra-na,a park,
huua-mum,at the corner,
dtrong-kaam-gap,opposite to,
gly,near,
glai,far,
hong naam,toilet,
bpai             , to go         ,11
suuan-sat        , a zoo         ,11
chaai-haat       , a beach       ,11
raan-aa-haan     , a restaurant  ,11
dta-laat         , a market      ,11
pi-pit-ta-pan    , a museum      ,
dek              , children      ,11
hoong-sa-mut     , library       ,11
sa-waai-nam      , swimming pool ,11
baan             , home          ,11
su-pee-maa-ket   , a supermarket ,11
raan-gaa-fee     , a coffee shop ,11
ra-waang         , between       ,11
daan-naa         , in front of   ,11
daan lang        , behind        ,11
daan sai         , on the left   ,11
daan kwaa        , on the right  ,11
tit-nuua         , north         ,11
tit-dtai         , south         ,11
tit-dta-wan-ook  , east          ,11
tit-dta-wan-dtok , west          ,11
rot-yon          , a car              ,12
moo-dtee-sai     , motorcycle         ,12
jak-gra-yan      , bicycle            ,12
rot-bat          , bus                ,12
teek-sii         , taxi               ,12
rot-fai-dtai-din , a subway           ,12
deen-bpai        , to walk            ,12
kun-rot-bat      , to get on the bus  ,12
long-rot-bat     , to get off the bus ,12
bpai-rot-bat     , bus stop           ,12
naa              , next               ,12
ta-non           , road               ,12
jaak             , from               ,12
tung             , to                 ,12
sii-yeek         , intersection       ,12
haang-jaak       , away from          ,12
kaam             , to cross           ,12
sa-paan          , bridge             ,12
liiao-saai       , to turn left       ,12
liiao-kwaa       , to turn right      ,12
bpai dtrong-bpai , to go straight     ,12
yut              , stop               ,12
fai-ja-raa-joon  , a traffic light    ,12
chaa             , slow               ,12
tam-ngaan               , to work        ,13
ta-naai-kwaam           , lawyer         ,13
wit-sa-wa-goon          , engineer       ,13
ta-haan                 , soldier        ,13
dtam-ruat               , police officer ,13
soon                    , to teach       ,13
ma-haa-wit-ta-yaa-lai   , university     ,13
